	Question	Reponse
16243	merde	Ne soyez pas grossi(er/ère), s'il vous plaît !
16246	je suis d'accord	Avez-vous l'impression que les gens ne vous écoutent pas quand vous parlez de vous ?
16247	je suis d'accord	Êtes-vous plutôt Ying ou plutôt Yang ?
16248	je suis d'accord	Votre entourage vous accepte comme vous êtes ?
16249	je suis d'accord	Vous êtes sûr(/e) ?
16251	je suis d'accord	Vous vous aimez ?
16253	...	Pourquoi êtes-vous si hésitant(/e) de me parler ?
16256	j'ai peur	Qu'est-ce qui vous effraie ?
16257	j'ai peur	De quoi avez-vous vraiment peur ?
16259	j'ai peur	Avez-vous peur de quelque chose ?
16267	oUI	Vous êtes sûr(/e) ?
16272	connasse	Ne soyez pas grossi(er/ère), s'il vous plaît !
16280	parce que	D'autres raisons vous viennent à l'esprit ?
16282	j'ai un problème	"Vous semblez vraiment mal. Mais ne vous inquiétez pas ; je suis là."
16283	j'ai un problème	Comment vous sentez-vous ?
16290	d'accord.	Vous êtes sûr(/e) ?
16296	quoi	Attendez-vous une autre réponse de ma part ?
16298	moi aussi	Je commence à vous connaître.
16300	merci.	Je vous en prie !
16302	j'ai mal à la tête	Il faut absolument prendre soin de vous.
16304	j'ai mal à la tête	Peut être devriez-vous voir un médecin ?
16306	peut-être	Vous ne semblez pas vraiment convaincu(/e).
16308	peut-être	Soyez rassuré(/e), je suis là pour vous écouter.
16310	je ne vais pas bien	Parler vous redonnera confiance en vous.
16311	je ne vais pas bien	"Vous semblez vraiment mal. Mais ne vous inquiétez pas ; je suis là."
16312	je ne vais pas bien	Comment vous sentez-vous ?
16315	je ne vais pas bien	Qu'est-ce que cette douleur vous suggère ?
16316	elizia	Parlons plutôt de vous.
16324	certes	Attendez-vous une autre réponse de ma part ?
16328	oui !	Vous êtes sûr(/e) ?
16330	je m'ennuie	Pourriez-vous aimer une personne comme vous-même ?
16331	je m'ennuie	Avez-vous l'impression que les gens ne vous écoutent pas quand vous parlez de vous ?
16332	je m'ennuie	Votre entourage vous accepte comme vous êtes ?
16336	très bien	Vous êtes sûr(/e) ?
16337	je veux mourir	En avez-vous réellement envie ?
16338	je veux mourir	Comment vous sentez-vous ?
16339	je veux mourir	Mais de quoi avez-vous réellement envie ?
16340	je veux mourir	Est-il possible que vous ayez besoin de plus de confiance en vous ?
16342	comment ?	Vous ne le savez pas déjà ?
16343	comment ?	A vous de me le dire !
16344	comment ?	Qu'en pensez-vous ?
16345	comment ?	Quelle réponse souhaitez-vous entendre ?
16346	mdr	Contente de voir que vous vous amusez !
16348	mdr	Riez-vous souvent dans votre vie quotidienne ?
16349	mdr	Saviez-vous que rire muscle les abdos ?
16350	mdr	Qu'est-ce qui vous fait rire ?
16352	mdr	Pourquoi riez-vous ?
16354	pardon?	S'il-vous-plait ne vous excusez pas!
16358	comment allez-vous?	Je vais bien et vous ?
16359	quel age avez vous?	Parlez-vous de moi en particulier ?
16362	désolé	S'il-vous-plait ne vous excusez pas!
16365	mais encore ?	Pourquoi êtes-vous tellement intéressé à le savoir ?
16366	mais encore ?	A vous de me le dire !
16367	mais encore ?	Vous ne le savez pas déjà ?
16368	mais encore ?	Qu'en pensez-vous ?
16369	mais encore ?	Quelle réponse souhaitez-vous entendre ?
16370	mais encore ?	Que désirez-vous vraiment savoir ?
16376	je suis étudiante	Je commence à vous connaître.
16379	oui beaucoup	Vous êtes sûr(/e) ?
16380	pute	Ne soyez pas grossi(er/ère), s'il vous plaît !
16382	pourquoi pas ?	Vous ne le savez pas déjà ?
16383	pourquoi pas ?	A vous de me le dire !
16384	pourquoi pas ?	Qu'en pensez-vous ?
16385	pourquoi pas ?	Que désirez-vous vraiment savoir ?
16388	absolument	Vous êtes sûr(/e) ?
16391	je ne pense pas	Je commence à vous connaître.
16395	je me sens seule	"Vous semblez vraiment mal. Mais ne vous inquiétez pas ; je suis là."
16396	je me sens seule	Votre entourage vous accepte comme vous êtes ?
16402	je vais mal	Parler vous redonnera confiance en vous.
16403	je vais mal	"Vous semblez vraiment mal. Mais ne vous inquiétez pas ; je suis là."
16405	je vais mal	Comment vous sentez-vous ?
16407	je vais mal	Est-il possible que vous ayez besoin de plus de confiance en vous ?
16409	et ?	Pourquoi le demandez-vous ?
16410	et ?	A vous de me le dire !
16411	un peu	Qu'est-ce que cela vous suggère ?
16413	un peu	Racontez plus de détails, s'il vous plaît !
16414	un peu	Pourriez-vous expliciter le fait qu'un peu ?
16415	un peu	Pourriez-vous développer un peu ?
16420	test	Attendez-vous une autre réponse de ma part ?
16422	ouais	Attendez-vous une autre réponse de ma part ?
16424	oui oui	Vous êtes sûr(/e) ?
16426	je suis amoureuse	Pourriez-vous aimer une personne comme vous-même ?
16427	je suis amoureuse	Je suis ravie que vous réussissiez à parler de vous-même !
16428	je suis amoureuse	Vous acceptez-vous vous-même ?
16433	quelle question ?	Que cherchez-vous vraiment quand vous me parlez ?
16435	comment?	A vous de me le dire !
16436	comment?	Vous ne le savez pas déjà ?
16437	comment?	Que désirez-vous vraiment savoir ?
16442	que dois-je faire ?	Il n'y a pas que'un seul chemin possible. C'est à vous de choisir.
16445	je le suis	Vous vous aimez ?
16446	je le suis	Votre entourage vous accepte comme vous êtes ?
16447	je le suis	Je suis ravie que vous réussissiez à parler de vous-même !
16448	je le suis	Vous acceptez-vous vous-même ?
16449	je le suis	Je commence à vous connaître.
16453	comment ça ?	Vous ne le savez pas déjà ?
16454	comment ça ?	Quelle réponse souhaitez-vous entendre ?
16455	comment ça ?	Qu'en pensez-vous ?
16456	comment ça ?	Que désirez-vous vraiment savoir ?
16457	comment ça ?	Est-ce que cette question vous intéresse ?
16460	bien sûr	Vous êtes sûr(/e) ?
16468	sexe	Je vous conseille d'aller voir de temps en temps 'Sex and the City' !
16469	sexe	Parlez-vous de sexualité avec votre partenaire ?
16470	sexe	Reprenez confiance en vous, osez ! Vous vous sentirez mieux !
16471	sexe	Vous sentez vous pleinement épanoui(/e) ?
16474	merci beaucoup	Je vous en prie !
16476	j'ai mal au ventre	Il faut absolument prendre soin de vous.
16477	j'ai mal au ventre	Peut être devriez-vous voir un médecin ?
16480	tout à fait	Attendez-vous une autre réponse de ma part ?
16481	tout à fait	Pourquoi dites-vous que tout à fait ?
16489	je suis un homme	Vous vous aimez ?
16494	quelle question?	Que cherchez-vous vraiment quand vous me parlez ?
16498	haha	Contente de voir que vous vous amusez !
16500	haha	Saviez-vous que rire muscle les abdos ?
16502	merci !	Je vous en prie !
16507	je voudrais prendre un rendez-vous avec vous.	Il n'y a pas besoin de rendez-vous pour me parler :)
16508	je ne suis pas d'accord	Vous êtes sûr(/e) ?
16520	peut etre	Pourriez-vous développer un peu ?
16525	j'ai mal	Il faut absolument prendre soin de vous.
16527	j'ai mal	Peut être devriez-vous voir un médecin ?
16535	pourquoi pas	A vous de me le dire !
16536	pourquoi pas	Vous ne le savez pas déjà ?
16537	pourquoi pas	Qu'en pensez-vous ?
16538	pourquoi pas?	Vous ne le savez pas déjà ?
16539	pourquoi pas?	A vous de me le dire !
16540	pourquoi pas?	Que désirez-vous vraiment savoir ?
16542	oui je sais	Vous êtes sûr(/e) ?
16559	je suis triste en ce moment	Parler vous redonnera confiance en vous.
16560	je suis triste en ce moment	"Vous semblez vraiment mal. Mais ne vous inquiétez pas ; je suis là."
16654	plus ou moins	Je vous écoute !
16659	mais	Vous avez déjà dit ça. Avançons. Je vous écoute !
16711	J'ai un rendez-vous chaud ce week-end.	C'est ton premier rendez-vous avec elle ?
16756	Oh, je sais. J'ai eu de la chance, nous avons découvert que nous vivions très près l'un de l'autre, alors nous nous sommes rencontrés et c'est génial depuis.	Cela ressemble au destin ? Étant donné que vous viviez tous les deux à proximité l'un de l'autre.
16827	Elle était vraiment triste, mais elle a apprécié le fait que je lui en parle.	Maintenant que ta copine connaît le problème, vous pouvez toutes les deux travailler ensemble sur des solutions et un soutien.
16850	Il préfère que ce soit ainsi. Il est plus calculé et plus expérimenté dans la vie que moi.	Je suppose que c'est logique. Tant que vous êtes tous les deux heureux de la dynamique de votre relation, c'est tout ce qui compte !
16864	Définitivement. Je me suis sentie tellement chaude et floue à l'intérieur, et elle aussi quand je lui ai envoyé un snapchat de la chose.	Vous avez l'air d'avoir une relation solide. C'est toujours génial de retrouver ces petits morceaux des premiers jours.
16896	Je me souviens quand ma grand-mère était malade et que nous, les petits-enfants, nous nous relayions pour lui tenir compagnie et l'aider avec ce dont elle avait besoin.	Vous avez l'air d'être d'excellents petits-enfants, je parie qu'elle l'a apprécié de tout cœur.
16897	Je le crois et c'était une expérience très douce pour nous.	Je parie que vous étiez proches et que cela vous a certainement rapprochés. Je suis si heureuse que tu aies eu ces liens avec ta famille.
16910	Ma copine a oublié de commander la nourriture chinoise hier...	Alors que s'est-il passé ? As-tu fini par en commander une fois que vous vous êtes tous les deux souvenus ?
16931	J'ai en quelque sorte fait semblant d'avoir oublié que c'était le sien, et il m'a cru.  Ou a agi comme tel lol.	C'est mignon que vous soyez capables de laisser passer les petites choses. On dirait que tu as une super relation.
16970	Ma meilleure amie depuis des années et moi nous sommes disputées, j'ai dit des choses que je regrette sous le coup de la colère, elle ne veut pas me pardonner. C'est affreux.	Depuis combien de temps vous vous connaissez tous les deux ?
17015	C'est vrai, mais ça m'a fait sourire en les lisant.	C'est génial. Il est tout aussi bon de se souvenir des bons moments que vous avez passés ensemble que de faire son deuil.
17035	Il n'était même pas contrarié par son ami, il était contrarié par quelqu'un d'autre.  Je me suis sentie si mal d'avoir à l'expliquer à la mère de son ami.	Ça doit être un coup de fil difficile à passer. Vous vous êtes réconciliés ou elle est très énervée ?
17041	Oh, j'aimerais pouvoir vider mon placard mais je ne peux pas me séparer de ces choses.	Je ressentais la même chose que toi, mais quel est l'intérêt de garder des choses que tu n'utilises pas et que cela prenne de la place ? Utilisez-vous tout ce qu'il y a dans votre placard ?
17113	Oui, je le fais.  C'est un travail amusant.	"Est-ce une situation du type ""vous n'avez jamais travaillé de votre vie"" ?"
17314	Mon ex me manque.	Je suis désolée d'entendre cela, comment cela s'est terminé entre vous ?
17316	J'ai un mari extraordinaire qui est toujours là pour moi, quoi qu'il arrive.	Cela semble incroyable ! Comment vous êtes-vous rencontrés ?
17354	J'ai vraiment envie d'aller au Smithsonian.  J'adore l'histoire et j'ai hâte d'y aller.	Le Smithsonian serait incroyable. Je ne suis pas encore allée à DC. J'espère que vous passerez un bon moment !
17373	Mon mari est très digne de confiance, il sait garder un secret quand on le lui demande.	C'est vraiment bien que vous puissiez vous faire confiance comme ça. Cela vous aide à grandir tous les deux dans votre relation.
17508	Je vais devoir au moins essayer. Peut-être qu'ils seront compréhensifs et me laisseront tenter à nouveau.	Bonne chance à vous ! Je vous souhaite le meilleur <3
17525	Je viens d'arrêter de fumer des cigarettes. C'était assez difficile, mais le pire, c'est que tout te met à cran et qu'il est difficile de se détendre.	Oh wow, j'aimerais trouver le courage de faire ça, ça demande sûrement beaucoup de volonté. Comment avez-vous fait ?
17544	J'aimerais pouvoir revenir au premier rendez-vous que ma copine et moi avons eu.	Pourquoi les choses se sont-elles terminées entre vous ?
17554	Je parcourais mes photos aujourd'hui et j'ai vu une photo de moi et de mon ex ensemble. Ça m'a fait bizarre, il me manque.	Sympa, quand avez-vous rompu ?
17565	Je suis allée à l'école pour être une CNA. Donc le fait de s'occuper d'elle n'était pas difficile. Je pense que c'était plus difficile mentalement. C'était toute la journée et toute la nuit. Très épuisant.	Dang, j'espère que tout se passera bien pour vous.
17604	J'ai dû prendre un rendez-vous chez le dentiste après ne pas en avoir visité un depuis cinq ans.	C'est fou. N'avais-tu pas d'assurance pendant toutes ces années où tu as manqué les rendez-vous chez le dentiste ?
17631	Je ne voulais pas le dire à ma famille car mon frère m'aurait ennuyé avec ça. Alors les seuls vêtements propres que j'avais étaient comme un survêtement	Oh, je suis sûre que le rendez-vous était juste heureux que tu sois là !
17693	Oui, nous avions besoin d'argent pour nous marier en premier lieu. Toutes les dépenses, les frais et la paperasse.	J'espère que vous aurez un bel avenir tous les deux. Au moins, tu sais que la famille te soutiendra !
17719	Merci beaucoup. J'espère que tout s'arrangera et qu'il reviendra vers moi.	"J'espère que vous réalisez aussi votre valeur. Je fais ce truc où je pense à une autre femme dans ma vie à laquelle je tiens beaucoup (mère, fille, etc.) et je me dis ""si ça leur arrivait, quel genre de conseil je leur donnerais ?"".  Parfois, nous pensons que nous méritons moins."
17740	Dernièrement, j'ai partagé avec ma femme des souvenirs d'avant notre mariage et cela m'a fait chaud au cœur.	Awwe, c'est trop mignon, comment vous êtes-vous rencontrés ?
17764	Oui, elle l'est, je l'aime vraiment car elle l'a élevée toute seule.	Vous devez avoir une très bonne connexion, c'est magnifique.
17805	Les mots ne peuvent pas décrire à quel point je suis heureux, dans 2 semaines je vais aller voir ma femme, je suis si joyeux et excité.	Je suis tellement heureuse pour toi ! Pourquoi avez-vous été séparés ces deux dernières semaines ?
17812	J'étais aux anges. C'était avant que l'école ne commence, j'avais donc beaucoup de temps libre. Ça n'aurait pas pu être mieux planifié.	Oh oui, absolument ! Elle semble être une très bonne copine pour faire ça pour toi. On dirait que vous avez tous un bon avenir devant vous.
17834	L'autre jour, j'ai reçu un appel téléphonique d'une amie dont je n'avais pas eu de nouvelles depuis des lustres.	Oh wow, je parie que c'était sympa. J'espère que vous avez eu une bonne discussion.
17835	Nous nous sommes souvenus du bon vieux temps. C'était très agréable, en effet. C'était agréable d'avoir de ses nouvelles, surtout pendant les moments difficiles !	C'est fantastique. J'espère que vous pourrez tous vous rencontrer à l'avenir très bientôt aussi.
17941	Je le suis vraiment ! Elle n'a que 7 ans, mais a déjà gagné son premier concours national ! :)	Voilà une réussite dont toi et elle vous souviendrez jusqu'à la fin de sa vie !
18029	J'ai récemment fait un grand nettoyage et je suis tombée sur mon vieux livre d'année du lycée.  Cela fait longtemps que j'ai quitté l'école et je n'arrivais pas à croire que je l'avais encore.  Un tel sentiment de nostalgie en regardant les vieilles photos et en lisant les histoires.	Est-ce que vous écriviez encore des notes dans les livres des autres au lycée ?
18075	Je dois m'occuper de la nouvelle entreprise de ma femme et moi et c'est assez stressant.	Mon mari possède une entreprise et c'est aussi stressant. Quel type d'entreprise avez-vous créé ?
18125	C'est sûr ! Je ne comprends pas pourquoi les gens doivent faire ça. Il porte une alliance tout le temps et nous avons des enfants !	"Oh, je suis tout à fait d'accord avec vous. Certaines femmes ont juste besoin d'un ""challenge"" tu sais. Mais c'est comme ""HANDS OFF"" !"
18128	J'ai dû quitter ma copine longue distance pour rentrer chez moi, après avoir passé un mois avec elle.	Je suis désolé. La distance, ça craint. Heureusement, vous avez skype !
18597	Je suis incroyablement bouleversée.  Je viens de découvrir que mon mari m'a trompée la semaine dernière.	Bon sang, ça craint. Vous avez parlé ou tu lui as immédiatement coupé la parole ?
18601	Mon grand-père est décédé il n'y a pas si longtemps, j'ai reçu un tas d'objets qu'il m'a laissés.	Je suis désolé pour ta perte, je parie que vous étiez proches tous les deux. Qu'est-ce qu'il t'a laissé ?
18605	Ma femme traverse une période difficile après avoir appris que nous ne pouvons plus avoir d'enfants. Je fais de mon mieux pour la soutenir et prendre soin d'elle, mais c'est très difficile quand rien ne semble fonctionner.	Oh c'est déchirant, est-ce que vous avez déjà des enfants ?
18609	J'ai été défié à une partie de billard à 2 contre 2, mon partenaire étant mon ami Joe.	Est-ce que Joe et toi vous êtes bien débrouillés ?
18641	Mon mari et moi avons renouvelé nos vœux de mariage pour notre 25e anniversaire. C'était une journée si douce et pleine de souvenirs.	Wow ! Félicitations ! Cela semble être une chose merveilleuse à faire. C'était juste vous deux ?
18685	J'aime à penser que j'avais le même regard quand j'y suis allée à son âge.	Vous avez joué à tous les jeux du carnaval ?
18733	Mon partenaire et moi travaillons tous les deux 24 heures sur 24 un jour sur deux, également.	Que faites-vous pour travailler ? On dirait des médecins
18791	Je l'aime bien.  Mais ça me manque toujours.  Même après l'ouragan Harvey et l'inondation de mon bâtiment de travail, j'ai conduit 40 minutes de plus pour y aller.  Mais j'ai eu un bébé récemment et c'est tout simplement logique d'être à la maison maintenant.	Cela semble difficile.  Il semble que vous ayez vécu beaucoup de choses ensemble à la garderie.
18821	Oui, je devrais peut-être, mais mon ego s'y oppose.	Tu pourrais simplement lui préparer un bon dîner ou planifier un rendez-vous spécial à la place.
18861	Oui, mais ce serait un peu contraire à l'éthique de se faire servir par elle, mais je t'assure que c'est une bonne personne.	Je vous souhaite à tous les deux le meilleur et j'espère que vous aurez une vie merveilleuse ensemble !
18908	Je suis ravie que mon père ait dit qu'il viendrait bientôt me rendre visite. Il voyage tellement et c'est difficile d'avoir son temps.	C'est génial ! Vous avez tous des projets ?
18909	Nous allons juste rester à la ferme et traîner avec les vaches, ha ha.	lol peut-être que vous pourriez trouver quelque chose pour vous rapprocher.
18966	Mon mari a perdu son emploi et nous avons pris du retard. Nous vivons également dans une zone rurale à environ 15 minutes de la ville et à une heure de la grande ville la plus proche.	Vous récupérerez tout ce que vous avez perdu. Il est difficile de voyager comme tu l'as dit
19025	Les vacances ne sont jamais les mêmes sans la présence des enfants pour en profiter.	Je comprends ce que tu veux dire.  J'espère que toi et ta famille pourrez bientôt vous réunir et profiter de la compagnie des autres.
19113	Mon ex a récemment dit qu'il voulait qu'on se remette ensemble. Je ne sais pas trop comment le prendre, nous nous entendons très bien depuis notre rupture.	Pourquoi avez-vous rompu ?
19181	Un peu comme de la poussière. Cela signifiait beaucoup pour elle que je l'aie, alors je ne pense pas pouvoir le laisser partir.	Je suppose que tu peux t'y accrocher, ou peut-être qu'il y a quelqu'un d'autre que vous connaissez tous les deux qui peut lui donner un bon coup de cœur.
19204	Oui, j'adore une bonne journée de détente et de temps en famille :)	Qu'est-ce que vous avez fait ? As-tu fait quelque chose de spécial ce soir-là ?
19242	Sa personnalité est plutôt directe alors je me suis habituée à ce qu'elle soit offensive. Cette fois, c'était plus personnel alors c'est plus difficile de laisser tomber.	Eh bien, vous avez tous les deux le même sang, alors je vous conseille de laisser le passé au passé.
19274	Je l'ai fait quand nous sommes allés à la foire du comté et que je pleurais et cherchais mes parents partout, c'était terrible.	En tant qu'enfant, j'imagine que ce serait incroyablement effrayant. Comment les avez-vous retrouvés ?
19290	Oui, je ne le fais pas souvent, mais je suis certain qu'il pourra me rembourser cette fois-ci.	C'est bien. J'espère que ça marchera pour vous deux, tu pourrais peut-être lui donner des conseils pour établir un budget.
19328	Pas avant quatre mois, quand elle viendra nous rendre visite pour Thanksgiving. Elle ne peut pas prendre beaucoup de congés.	J'espère que vous passerez beaucoup de temps ensemble quand elle arrivera.
19332	Oui. Je ne l'avais pas vue depuis si longtemps car elle a vécu à Cuba pendant toutes ces années. Elle a récemment déménagé en Espagne et voulait rendre visite à ma famille et moi.	Je parie que vous avez eu beaucoup de choses à rattraper !
19362	6 mois. Beaucoup trop long !	Mec, j'espère que vous ferez quelque chose d'amusant tous les deux !
19403	Il a dit aux gens que j'étais méchante avec lui.	Vous êtes toujours amis ?
19514	Oui, et j'ai aussi confiance en elle, c'est l'une des meilleures femmes de la terre.	Vous avez de la chance de vous avoir l'un l'autre !
19547	Je pense à elle tous les soirs et j'aimerais qu'elle soit là avec moi.	On dirait que tu tiens vraiment à elle. J'espère que tout se passera bien pour vous deux !
19604	J'espère que c'est le cas, je suis juste tellement débordée en ce moment.	Je comprends. Sois compréhensive car ta copine pense probablement la même chose. N'oublie pas que vous êtes maintenant toutes les deux dans le même bateau, alors profite de l'expérience.
19645	Dans les deux prochaines semaines, nous essayons toujours de décider de la date exacte.	Je suis heureuse que tu aies trouvé ton partenaire de vie et j'espère que tout se passera comme vous l'aviez prévu !
19727	J'ai appris à la dure, garde ton cercle d'amis petit.	Pas pour rien mais, un chien ne vous trahira jamais <3
19746	Je me suis disputée avec ma sœur aujourd'hui et elle a commencé à me crier dessus, ce qui m'a vraiment énervée.	C'est malheureux. Vous vous êtes réconciliés après coup ?
19747	Non, elle ne veut toujours pas s'excuser pour ce qu'elle a fait, mais si elle ne le fait pas, je vais lui parler aujourd'hui !	C'est bien. Vous êtes frères et sœurs après tout et vous devriez essayer de vous entendre.
19801	Quelques vieux trucs de 2 ans auparavant mais le tribunal a été nommé si tard !	Je suis heureuse que vous ayez réussi à traverser une période aussi difficile.
19909	Ma femme m'accompagne contre vents et marées depuis 30 ans.	C'est extrêmement loyal ! Vous devez avoir une relation vraiment heureuse ?
19973	Hier, j'ai croisé un vieil ami et j'ai été très surprise qu'il ait beaucoup changé.	Cela a dû être très agréable pour vous deux. Avait-il changé en mieux ?
19991	Quand j'ai fait ma demande à ma copine, elle a dit oui ! J'étais tellement heureux	C'est une excellente nouvelle, félicitations, depuis combien de temps vous vous connaissez ?
20011	J'ai vu ma belle-mère pour la première fois en 15 ans, depuis le décès de mon père. Ce n'était absolument pas prévu et ce fut un véritable choc de la voir.	Oh wow, cela a dû être une expérience bouleversante pour vous deux.
20087	J'ai éternué sur ma collègue de travail par accident hier ! Elle était horrifiée et ne me parle plus.	Oh non ! C'est vraiment embarrassant. Espérons qu'elle pourra passer à autre chose et que vous pourrez en rire un jour.
20153	Bien sûr, nous nous aimons.	C'est incroyable. L'amour est absolument grandiose. Je suis heureuse pour vous deux.
20246	Je suis allée dans le Sud avec un très bon groupe d'amis il y a environ un mois et c'était le meilleur moment.	Cela a dû être amusant ! Qu'est-ce que vous avez fait ?
20347	Je suis allée rendre visite à ma mère le week-end dernier. Nous avons apprécié de parler et de regarder de vieilles photos.	Vous vivez loin l'un de l'autre ? J'adore parler avec ma mère d'elle et de mon enfance.
20355	Non, la robe était fichue. J'ai dû porter autre chose. Ce n'était pas aussi joli que la robe.	Le rendez-vous était-il au moins bon ?
20357	Non, elle a oublié.  Ce qui, malheureusement, est typique !	Oh non ! Vous avez quand même passé une bonne soirée ?
20393	Moi et ma fille sommes allées au skate park l'autre jour.	Vous vous êtes amusés tous les deux ?
20429	Pareil. Et tous ces gars vivent dans des endroits différents maintenant, alors il est de plus en plus difficile de réunir tout le monde.	Je parie que ce serait difficile.  Y a-t-il eu une occasion spéciale qui vous a réunis ?
20500	Mon petit ami et moi avons traversé l'ouragan Irma l'année dernière. C'était assez effrayant.	Cela a dû être terrifiant, je suis heureuse que vous vous en soyez sortis tous les deux.
20529	Elle l'est. Elle travaille quelques heures plus tard que moi normalement, alors elle a dû faire des pieds et des mains pour me pciquer. Je suis un gars plutôt chanceux. :)	Je vous souhaite le meilleur pour tous les deux
20545	Mon petit ami et moi fêtons notre 7e anniversaire ce mois-ci !	Wow, c'est génial ! Tant mieux pour vous, j'espère que vous vivrez encore de nombreuses années heureuses ensemble. :)
20565	Quand j'étais au lycée, il y avait une personne âgée pour laquelle j'avais le béguin et j'étais en deuxième année.  J'ai fini par l'inviter à sortir mais j'ai été rejeté. Plus tard, à l'université, nous sommes en fait devenus de très bons amis.	Oh mec, ça brise le cœur. C'est bien que vous soyez amis. On ne sait jamais, peut-être qu'un jour vous serez mariés.
20654	J'ai appris à ma jeune fille à jouer aux jeux vidéo avec moi, elle apprend si vite.	À quels jeux vidéo jouez-vous tous les deux ?
20660	Définitivement. Nous parlons tout le temps de mariage et d'enfants, mais nous sommes encore extrêmement jeunes.	J'espère vraiment, vraiment que ça marchera pour vous !
20663	J'ai subi un tas d'opérations cette année. Je ne me suis jamais sentie aussi détendue que lorsque j'ai appris que j'étais saine et sauve et que tout était fini.	Cela a dû être dur, et je suis heureuse d'apprendre que tu vas mieux. As-tu des rendez-vous de suivi auxquels tu dois te rendre ?
20667	Ma fille commence sa première année d'université dans une autre ville la semaine prochaine. Elle va vraiment me manquer.	C'est vraiment excitant pour elle !  Mais je suis sûre que le fait d'être séparés sera difficile pour vous deux.
20711	J'étais à la plage et un ouragan a changé de trajectoire et venait droit sur nous. Mon petit ami ne voulait pas partir car nous n'en étions qu'au deuxième jour de nos vacances.	Oh, cela semble vraiment terrible. Qu'est-ce que vous avez décidé de faire ?
20712	C'est la rentrée des classes. Je suis enseignante et j'ai passé du temps à préparer ma salle de classe aujourd'hui.	Ça doit être excitant !  (Et en tant que parent, je te salue !) Quelle année enseignez-vous ?
20762	Sans aucun doute.  Je suis plutôt du genre à acheter l'ordinateur le moins cher, mais j'ai essayé le sien et il était vraiment bien.	"Être frugal est toujours un avantage à long terme. Je vous suggère de faire des enquêtes en ligne pour gagner un peu plus d'argent ;)"
20820	Il y a des années, j'avais une amie qui me racontait tout et me disait qu'elle serait toujours là pour moi	Cela semble être un ami formidable. Vous restez toujours en contact ?
20890	Oui, nous allons tellement nous amuser, je me sens à nouveau comme un enfant quand elle est en ville.	Hah, j'espère que vous vous amuserez tous les deux. Mes sœurs m'ont rendu visite il y a quelques semaines et nous nous sommes bien amusées.
20891	Quand nous étions enfants, ma sœur et moi avons un jour volé un chèque en blanc à notre mère pour commander une pizza, nous nous sommes fait prendre.	Oh non ! Comment vous êtes-vous fait prendre ?
20892	Ma mère a remarqué la charge et a trouvé un chèque manquant dans son chéquier, je n'oublierai jamais le regard de déception sur son visage !	Je parie que vous avez tous les deux eu beaucoup d'ennuis ?
20975	Il a une autre interview jeudi. Je sais juste qu'il l'obtiendra !	Je le parie aussi !  Bonne chance à vous deux.
20978	Je suis si heureuse que l'un de mes élèves se soit surpassé pour la classe.	Quelle classe enseignez-vous ?
21157	Oui, il l'est ! Il est aussi très doué, j'ai eu le coup de foudre !	C'est super romantique ! C'est cool que vous ayez une passion commune pour la danse.
21173	J'y suis déjà allée, lol. J'étais super excitée avant, je comptais les jours !	C'est génial, je parie que vous avez passé un bon moment car c'est toujours agréable de pouvoir s'échapper pendant une semaine et de se détendre :)
21179	Il me parlait à peine, mais il parlait beaucoup à tous les autres.	Aww, j'espère que vous avez pu discuter tous les deux de ce qui s'est passé et de ce que vous avez ressenti. Il n'a peut-être pas réalisé qu'il faisait cela car il y avait peut-être simplement trop de monde.
21243	Mon père et moi avions l'habitude de jouer aux échecs ensemble. Cela me manque.	Pourquoi vous ne jouez plus aux échecs ensemble ?
21259	J'avais prévu d'emmener ma fille faire du shopping il y a quelques semaines. Nous étions tous très excités, mais les plans sont tombés à l'eau.	Ça pue. Vous êtes allés acheter des vêtements pour l'école ?
21272	Oui très important	J'espère que vous passerez un bon moment et que vous pourrez vous reconnecter les uns aux autres de nouvelles façons.
21319	C'est une longue période. Vous avez été plutôt stables pendant ces 15 ans ?	Non, nous avons dû nous battre contre beaucoup de choses. Aimez-vous les uns les autres et n'oubliez jamais que vous n'êtes pas les ennemis les uns des autres.
21452	J'ai pu passer la journée à me détendre à la maison avec ma copine.	Ça a l'air génial.  Vous avez fait quelque chose pendant votre jour de congé ou vous avez juste traîné devant la télé ?
21562	Il n'y a pas longtemps, j'ai rencontré une femme et je me suis senti totalement en phase avec elle, dès le début. Nous avons commencé à sortir ensemble et les choses se passaient très bien.	C'est génial quand ce genre de chose arrive. Vous êtes ensemble maintenant ?
21638	Il a vécu plus de 10 ans, et il n'était qu'une race mixte. J'étais vraiment très triste quand il est décédé, mais nous avons beaucoup de bons souvenirs ensemble.	On dirait que vous avez eu beaucoup de bons moments ensemble. Tu devras t'en souvenir pendant ton deuil.
21650	Corey, que je suis incroyablement honorée qu'elle ait choisi. J'ai été la première personne à porter ce nom dans la famille, alors ce n'est pas comme s'il avait une longue histoire, mais ça me rend vraiment heureuse qu'elle veuille le donner à son fils !	Absolument. C'est bien que vous soyez proches tous les deux
21669	Je dois aller au parc aujourd'hui pour un barbecue avec des amis, ça devrait être très amusant !	Ooh sympa. Cela a l'air très amusant. Est-ce que vous faites du sport pendant que vous êtes là-bas ?
21674	Quand j'étais enfant, nous faisions des pommes au caramel chaque automne. C'est une friandise tellement merveilleuse.	Oh, j'adore les pommes au caramel ! Elles sont l'une de mes friandises préférées à l'automne. Vous avez fait votre propre caramel ?
