Question	Reponse
Je veux une pause 	Une pause, c'est mettre son esprit au repos, se débarrasser des pensées négatives et du stress. Votre vie est entièrement entre vos mains et prendre quelques heures de repos pour éviter de mettre votre cerveau sous pression vous sera certainement bénéfique.
Je suis stressé(e)	Vous savez que trop de stress a des effets négatifs sur vous. Parfois, il est préférable de laisser aller les pensées dans votre tête et de laisser votre esprit se détendre.
Je ne réussirai jamais dans la vie 	Le succès est quelque chose qui est atteint à différents moments par différentes personnes, être patient et travailler en ignorant tout ce qui vous retient est un aspect important pour réussir.
Je souhaite abandonner 	Les gagnants n'abandonnent jamais et ceux qui abandonnent ne gagnent jamais. C'est un dicton très courant, mais il n'est pas facile à suivre, abandonner ne devrait jamais être l'une de vos options ; pensez toujours à des moyens de vous battre contre la vie et d'en sortir plus fort que jamais.
Je veux quitter le pays et m'enfuir	Pourquoi voulez-vous dépenser autant pour cette pensée, je pense qu'il serait préférable de partir en vacances dans votre beau pays et de visiter des endroits étonnants que vous n'avez pas encore visités.
Je n'en peux plus	Si vous êtes vraiment épuisé, vous avez besoin d'une pause, et faire une toute petite pause n'est pas très dangereux, prenez un peu de repos, laissez votre esprit s'apaiser et remettez-vous au travail avec toute l'énergie et l'enthousiasme que vous avez.
Mon heure est venue Yeahh !!	Le temps est venu pour vous de montrer au monde que vous êtes la meilleure personne au monde, et que personne d'autre ne peut être aussi bon que vous.
Bonjour, comment allez-vous ? 	Je vais bien. Et vous ?
Je vais bien. Comment allez-vous ? 	Je vais plutôt bien. Merci de demander.
Je vais plutôt bien. Merci de demander. 	Pas de problème. Alors, comment vas-tu ?
Pas de problème. Et toi, comment ça va ? 	Je vais très bien. Et toi ?
J'ai été super. Et toi ? 	Je vais bien. Je suis à l'école en ce moment.
J'ai vais bien. Je suis à l'école en ce moment. 	Dans quelle école vas-tu ?
Quelle école ? 	Je vais à Pcc.
Je vais à Pcc. 	Tu te plais là-bas ?
Tu aimes ?	C'est bien. C'est un très grand campus.
C'est bien. C'est un très grand campus. 	Bonne chance pour l'école.
Bonne chance pour l'école. 	Merci beaucoup.
Comment ça va ? 	Je vais bien. Et toi ?
Je vais bien. Et vous ?	Jamais mieux, merci.
Jamais mieux, merci. 	Alors, comment vas-tu ces temps-ci ?
Alors comment va
