Question	Reponse	Catégorie	Type	Source	FR?
Je suis toujours préparé aux ouragans.	Je vis au Texas, nous n'avons vraiment pas à nous inquiéter d'eux ici.				
J'aime le Texas.	Le Texas est un endroit génial ! Mais je peux comprendre le besoin de vouloir être préparé.				
J'ai donc reçu une énorme prime au travail la semaine dernière !	Combien ?				
C'était suffisant pour que je puisse rembourser ma voiture et beaucoup de factures.	Cool. Quel genre de voiture.				
Je suis terrifiée par les araignées, une fois j'en ai vu une sur mon mur et je l'ai fixée pendant des heures pour savoir où elle se trouvait.	Pourquoi as-tu si peur d'eux ? Ils mangent toutes les autres bestioles, après tout.				
Ce sont toutes leurs jambes et leurs yeux... *frissons* rien que de l'imaginer me donne des frissons dans le dos !	C'est vrai qu'ils ne sont pas une espèce très attrayante visuellement. Mais au moins, ils ont plus peur de toi, c'est une consolation.				
Lorsque j'étais à l'école intermédiaire, je me souviens avoir vu une question au tableau et être certaine de connaître la réponse. Lorsque tout est devenu silencieux et que l'enseignant a demandé si quelqu'un connaissait la réponse, j'ai pris la parole en toute confiance, pour finalement être incorrecte...	Oh non, comment t'es-tu sentie ?				
Une combinaison étrange de vouloir mourir et de ne pas vouloir exister. Comme, je voulais essentiellement inverser le temps.	Je comprends totalement ce sentiment et je sais ce que tu veux dire ! Mais je ne m'en ferais pas pour ça, ça arrive aux meilleurs d'entre nous et nous apprenons de nos erreurs !				
Je voulais essayer une nouvelle marque d'écouteurs mais j'ai préféré rester avec les bons vieux Beats. Je leur étais fidèle.	Je m'en tiens généralement à ce que je connais aussi				
Les produits testés et éprouvés sont sûrs !	Absolument, surtout quand on dépense beaucoup d'argent				
Mon fils était extrêmement malade mais je devais être au travail ce jour-là alors j'ai dû le laisser à ma belle-mère.	Cela semble horrible. J'espère qu'il va mieux maintenant !				
Beaucoup mieux, et je savais qu'elle s'occuperait bien de lui	C'est merveilleux que tu aies eu quelqu'un comme ta mère pour t'aider !				
Ces derniers mois ont été terriblement difficiles, mais je pense pouvoir dire qu'ils m'ont rendue plus forte.	Oh non, je suis désolée que tu aies traversé une période difficile, mais je suis heureuse d'entendre que tu as grandi grâce à tes expériences.				
Merci. J'espère que je pourrai aller de l'avant et au moins apprendre de ces épreuves.	Oui, je crois que tu vas y arriver, mais n'oublie jamais que tu n'es pas seule ! Je suis toujours là si tu as besoin d'un soutien moral :)				
Je me sens tellement coupable, j'ai promis à mon amie de venir à son anniversaire mais j'ai oublié.	Oh non ! Tu peux peut-être lui offrir un cadeau et des friandises pour te rattraper ?				
Tu es brillante ! Je n'arrive pas à croire que je n'y ai pas pensé. Je vais certainement lui offrir des bonbons pour me faire pardonner.	Espérons qu'elle comprendra !				
Je suis tellement heureuse que je viens d'avoir un nouveau chiot !	Génial, je parie que tu es tout le temps avec ton chiot maintenant :)				
Oui, bien sûr ! C'est le chiot le plus mignon et il est plein d'énergie !	Les chiots sont si merveilleux, je suis heureuse pour toi !				
J'ai vu quelqu'un qui gagnait beaucoup plus d'argent que moi faire la même chose que moi mais un très mauvais travail. Mais j'ai quand même souhaité être à leur place et être payée autant.	Je sais ce que tu veux dire, demande peut-être si l'endroit embauche ?				
Oui, je suis un entrepreneur en ligne, alors c'est plus compliqué. Je ne veux pas faire payer autant en même temps. Ils arnaquent un peu les gens mais j'ai quand même ressenti de l'envie, puis je m'en suis remise.	ohh ok je vois, oui c'est une situation difficile. J'espère que ça va marcher pour toi et bonne chance mon pote ! :)				
Les publicités pour la nouvelle extension de World Of Warcraft me font vraiment penser à l'époque où j'y jouais il y a plusieurs années.	Ils avaient l'air vraiment excitants ! Cela te donne-t-il envie d'y rejouer ?				
C'est le cas. J'ai passé tellement de temps dans ce jeu avant. Je vais peut-être devoir le reprendre.	Si cela te rend heureux, alors tu devrais le faire ! Profite de ce sentiment de nostalgie tant que tu le peux.				
Ma grand-mère est tombée malade récemment, j'ai donc pris un congé pour la soigner.	Oh non ! Je suis désolée d'entendre ça. J'espère qu'elle ira mieux.				
Merci, chaque jour, lentement, elle se remet sur ses pieds.	Je suis heureuse qu'elle aille mieux !				
J'ai eu une peur bleue du cancer l'année dernière.  Mon médecin a trouvé un grain de beauté étrange. J'ai dû attendre une semaine pour que la biopsie revienne.  C'était une longue attente !	Je ne peux pas imaginer ce que cela a dû être. Qu'est-ce qui t'a aidé à le surmonter ?				
Xanax !  Je plaisante.  Je n'ai pas eu beaucoup d'aide pour y faire face car je n'en ai parlé à personne.	Au moins, tu as gardé ton sens de l'humour !				
Je me suis sentie vraiment coupable lorsque j'ai dû annoncer à mes parents que j'avais décidé d'abandonner l'école.	Tu as entendu le discours "Tu seras un terrassier" comme mon frère ?				
Comment as-tu deviné ? On m'a dit beaucoup de choses ce jour-là.	Tout le monde n'est pas fait pour rester assis dans une salle de classe à écouter un discours d'enseignant assourdissant.				
Je déteste vraiment quand les gens ne peuvent pas se tenir responsables de leurs propres actions et décisions.	Je suis d'accord. L'orgueil fait si souvent obstacle à la croissance personnelle et à la réflexion.				
Absolument. Pourtant, ces personnes ont une façon horrible de déformer les choses pour te culpabiliser, même si tu n'as rien fait de mal ! C'est un sentiment très manipulateur et déroutant.	On pourrait espérer que les gens grandissent, mais parfois les gens sont figés dans leurs habitudes et deviennent impossibles à changer.				
Mon frère a reçu un très beau snowboard pour son anniversaire quand nous étions adolescents. J'en voulais un aussi, mais je n'ai finalement pas eu ce que je voulais.	Cela ne semble pas être un souvenir très agréable. Peut-être as-tu reçu un cadeau que ton frère a toujours secrètement souhaité avoir !				
Tu sais, il l'a joué comme ça, il semblait vraiment investi dans la guitare basse que j'ai reçue. Mais il a bien profité de ce snowboard.	Tu sais ce qu'on dit, l'herbe est toujours plus verte de l'autre côté. As-tu réussi à le convaincre de te laisser emprunter son snowboard ?				
J'ai reçu un message très étrange aujourd'hui. Il venait d'une personne que j'ai bloquée en ligne, mais elle a réussi à trouver une faille et m'a envoyé un message par le biais d'un groupe inactif.	Oh non, qu'ont-ils dit ?				
Ils essayaient juste de trouver des moyens de me contacter. Je les ai littéralement bloqués sur tous les médias sociaux. Cela semble à la limite du harcèlement, et cela me rend très anxieuse.	C'est vraiment effrayant, je me sentirais aussi anxieuse. Je pense que tu devrais le signaler à la police si tu remarques des messages étranges ou menaçants, N'hésite pas à m'appeler aussi si tu as besoin de quelque chose ! :)				
Je suis terrifiée par les clowns	Je n'ai pas peur des clowns moi-même, mais je vois parfaitement comment ils peuvent être terrifiants pour certaines personnes !				
Oui, je déteste le maquillage qu'elles portent, c'est tellement effrayant !	Je suis d'accord avec toi. Ces sourires peints et ces gros nez rouges peuvent être si rébarbatifs !				
Je commence une carrière musicale professionnelle et je crois que je peux y arriver dans l'industrie alternative !	C'est génial, tu peux m'en dire plus sur ce que tu vas faire ?				
Ma femme et moi sommes musiciens et formons un duo avec elle qui chante. Je joue de la guitare et du piano et elle chante.	Wow, ça a l'air vraiment génial, j'adorerais écouter tes chansons. Puis-je aussi être la première à recevoir tes autographes ? :)				
Je suis tellement impressionnée par ma fille, elle a gagné le concours national d'orthographe !	Wow, elle doit être une enfant talentueuse ! Je suis sûre que tu es très fière d'elle.				
Je le suis vraiment ! Elle n'a que 7 ans, mais a déjà gagné son premier concours national ! :)	Voilà une réussite dont toi et elle vous souviendrez jusqu'à la fin de sa vie !				
Je viens de terminer mon dernier examen et je suis très soulagée d'avoir terminé !	Félicitations ! C'est toujours un grand sentiment.				
Oui, j'ai l'impression que tout le travail que j'ai fourni pour étudier a porté ses fruits.	C'est certainement le cas. Tu le mérites.				
Je me suis réveillée avec quelque chose de super énervant ce matin.	C'est toujours frustrant. Que s'est-il passé ?				
Je me suis réveillée pour découvrir que ma voiture a été emboutie alors qu'elle était garée près du trottoir pendant la nuit. Aucune note ou quoi que ce soit.	Wow, certaines personnes sont tout simplement terribles ! Je déteste quand les gens ne prennent pas la responsabilité de leurs actes.				
Parfois, même si j'ai une petite amie, je me demande ce que ce serait d'être avec quelqu'un d'autre.	Eh bien, il n'y a qu'une seule façon de le découvrir !				
Je ne pense pas que je serais prêt à la quitter. Elle est géniale. Mais parfois, on a le sentiment que "l'herbe est plus verte".	Oui, tout le monde le fait probablement à un moment ou à un autre.				
Je me suis énervé quand j'ai perdu mon chien	Oh non ! Je l'aurais fait aussi. L'as-tu trouvé ?				
Non, il a creusé un trou et s'est enfui.	Oh... Intéressant. Un trou sous la clôture ? Je suis désolé d'entendre ça.				
Je vais faire de l'escalade avec des amis !	Cela semble amusant et effrayant ! Tu dois être plutôt en forme pour relever ce défi.				
J'ai fait de l'escalade à l'intérieur pour m'entraîner, mais je n'ai jamais fait de grande escalade à l'extérieur, alors qui sait comment ça va se passer.	Je suis sûre qu'il y aura quelques différences, mais je suis sûre que tu vas y arriver ! N'oublie pas d'être prudent !				
Je continue à faire des cauchemars très bizarres la nuit.	Oh mon Dieu, de quoi parlent-ils ?				
Je suis généralement dans une grande ville qui m'est familière, et je me promène dans le rêve jusqu'à ce que je sois traquée, sautée et parfois très blessée.	wow, ça ressemble à une intrigue d'inception, tu dois apprendre à contrôler le rêve				
J'ai étudié mon livre d'examen de conduite page à page pendant deux semaines avant l'examen. J'y suis allée avec toute la confiance du monde.	Comment cela s'est-il passé ?				
J'ai tout réussi, à 100 %. Il s'avère que j'ai appris que tu n'as pas besoin d'étudier autant que ça pour un examen écrit de conduite.	Félicitations ! C'est génial à entendre.				
Je suis vraiment déçue par les actions de mon fils dont on m'a parlé.	Qu'est-ce qu'il a fait ?				
Il s'est fait prendre à tricher par son professeur lors d'un test l'autre jour.	Oh non. À ton avis, qu'est-ce qui l'a poussé à faire ça ?				
Aujourd'hui, j'ai été très impressionnée par mon endurance pendant ma séance d'entraînement. Il y a quelques mois, je ne pouvais même pas monter une volée d'escaliers sans perdre mon souffle.	On dirait que tu fais beaucoup de progrès !				
J'en suis sûre, mais c'est un travail tellement difficile. Je fais en sorte de faire de l'exercice, même les jours où je n'en ai pas envie. Cela a définitivement demandé beaucoup de volonté.	C'est génial ! Tout le travail acharné porte ses fruits.				
L'autre jour, j'ai mangé une chose aussi dégoûtante par accident.	Qu'est-ce que tu as mangé par accident ?				
J'ai acheté un sandwich et après quelques bouchées, j'ai remarqué qu'il y avait un tas de moisissures.	Beurk, ça a l'air horrible ! As-tu pu obtenir un remboursement au moins ?				
J'ai eu une grossesse à haut risque jusqu'à il y a quelques mois. Je me suis sentie le plus reconnaissante que j'aie jamais été lorsque mon bébé s'est avéré en bonne santé.	Félicitations, cela a dû être une période très stressante avant l'accouchement.				
C'était une grossesse vraiment difficile qui s'est terminée par une opération très douloureuse. Ce n'était pas joli, mais cela en valait vraiment la peine. J'aurais pris n'importe quelle quantité de douleur tant que mon fils était né en bonne santé et en sécurité.	Tu as l'air d'être une mère formidable. Je suis sûre que ton fils a beaucoup de chance de t'avoir.				
Je viens d'apprendre ma première figure en patinage sur glace, un triple spin twirl kick front flip.	Wow, cela semble être un défi ! Tu dois avoir une sacrée force pour réussir à faire ça !				
Je n'ai jamais pensé que j'aurais l'équilibre nécessaire pour réaliser un tel exploit. Je pense que je ne peux pas me qualifier pour les Jeux olympiques.	Tu devrais vraiment essayer ! Ce sera difficile, mais si tu as la détermination nécessaire, ça en vaut vraiment la peine.				
En repensant à ma jeunesse, je me souviens de toutes les fois où je volais des barres chocolatées à la supérette en rentrant de l'école.	haha nous avons tous fait des choses folles quand nous étions jeunes ! Tu t'es déjà fait prendre ?				
Non. Je m'arrêtais avec un groupe de personnes qui rentraient chez elles et prenais sournoisement mon choix pendant que les autres achetaient légitimement.	bon plan.  Attendre que le commerçant soit occupé avec quelqu'un d'autre.				
J'ai récemment eu mon premier enfant.  J'étais absolument terrifiée lorsque j'ai commencé le travail, mais j'ai mis toute ma foi dans les merveilleuses sages-femmes et tout s'est parfaitement déroulé !	Je suis heureuse que tout se soit déroulé comme prévu. Je peux imaginer que c'est un moment très stressant.				
C'était vraiment effrayant, mais je devais croire que l'expérience et la nature bienveillante des sages-femmes me permettraient de surmonter cette épreuve, et c'est ce qui s'est passé.  J'admire vraiment tous ceux qui font cette carrière, ce n'est pas seulement un travail mais une vocation.	Il faut vraiment être engagé pour se lancer dans un tel travail. Ce n'est pas pour tout le monde, je suis d'accord.				
J'ai récemment pu déménager dans la ville où j'ai toujours voulu vivre et je ne pourrais pas être plus heureuse !	Félicitations ! Je parie que tu es pleine de joie !				
Je le suis ! Cela signifie aussi que je n'ai plus besoin de conduire, ce qui me réjouit énormément.	Je parie que tu l'es ! Je pense que tu vas apprécier ta nouvelle maison et ta nouvelle ville !				
J'ai commencé un régime aujourd'hui et dès que je rentre à la maison, je mange un hamburger !	Je sais à quel point les régimes sont difficiles à suivre. Quels sont les aliments que tu évites ?				
Les aliments frits. Je me sens mal de ne pas m'y être engagée le premier jour.	Ne sois pas trop dur avec toi-même, c'est difficile d'arrêter quelque chose immédiatement. Continue d'essayer, je crois en toi !				
Merci ! J'ai besoin de cette motivation pour pouvoir surmonter cette honte que je ressens.	Je comprends. Il y a toujours un autre repas pour commencer à faire le changement !				
Je viens de recommencer l'université et, bien que je réussisse très bien à l'école, cela m'a conduit à me sentir très seule avec un manque de vie sociale.	Oh non ! Tu devrais essayer de te faire d'autres amis parmi tes camarades de classe.				
Cela semble être une bonne idée si ce n'était pas des cours en ligne. Le semestre prochain, j'ai quelques cours sur le campus, alors j'espère pouvoir me faire au moins un nouvel ami.	J'espère que tu pourras trouver des amis au prochain semestre alors !				
Je n'ai vraiment pas hâte d'être à demain.	Pourquoi pas ? Que se passe-t-il demain ?				
Je dois parler à un grand groupe au travail demain.	Ne laisse pas cela t'inquiéter outre mesure. Assure-toi simplement d'organiser tout ce que tu dois présenter et n'oublie pas de parler fort et clairement ! Tu peux le faire !				
Le semestre à venir sera la première fois que je prends 5 cours en même temps. Je suis assez inquiète d'avoir peut-être accepté trop de choses.	Oui, ça a l'air mouvementé. Tu penses que tu peux le faire ?				
Je ne suis pas sûre. Plus j'y pense, plus je doute de moi. J'ai aussi un bébé, alors j'espère que je pourrai jongler avec tout en même temps.	Oui, ça a l'air d'être une sacrée poignée ! Tu devrais peut-être peser tes options et faire ce qui est le mieux pour toi et ta famille.				
J'ai changé mon poste pour la nuit et marcher jusqu'à mon soin m'a donné la chair de poule ce soir. Il y avait un homme debout dans l'obscurité.	Cela semble effrayant ! Y a-t-il une chance que quelqu'un puisse commencer à t'escorter jusqu'à ta voiture ? L'union fait la force !				
Je suis d'accord. J'ai eu des goosbumps partout et des frissons le long de ma colonne vertébrale.	Je te recommande absolument de te procurer du macis et un couteau de poche. Reste en sécurité dehors !				
J'adore ma petite amie. Je suis en train de devenir très sérieux pour ne pas la quitter.	C'est génial à entendre !				
Merci. As-tu un intérêt romantique ?	Pas en ce moment. Je suis trop concentrée sur l'amélioration de ma situation.				
Mon frère va se faire opérer demain.	J'espère que tout se passera bien. Je suis sûre qu'il sera comme neuf après !				
Je l'espère vraiment ! J'étais vraiment inquiète.	Je suis sûre que la procédure se déroulera parfaitement.				
Je n'ai jamais ressenti autant d'anticipation que pendant les mois où j'ai attendu de savoir si j'étais acceptée ou non à l'école supérieure.	Je parie ! Tu as déjà reçu des nouvelles ?				
Oui, j'ai été acceptée ! L'attente en valait la peine.	Félicitations ! Tu vas faire des merveilles, je le sais !				
L'été dans le Sud appelle de nombreux visiteurs indésirables du type insectes !	Je suis aussi originaire du sud ! Est-ce que tu parles des moustiques par hasard ?				
Les moustiques, et ces redoutables fourmis volantes. Elles sont partout !	Un jour, nous trouverons le moyen de leur rendre toute la misère qu'ils nous ont causée.				
Mon frère a obtenu son diplôme universitaire et a déjà trouvé un emploi, je suis assez heureuse pour lui.	C'est incroyable. Je suis heureuse pour lui aussi. Je parie que tu es fière.				
Oui, je le suis. Je me suis sentie un peu jalouse, puisqu'il a obtenu son diplôme avant moi. Mais ce n'est pas grave. Je veux qu'il réussisse, surtout qu'il a une famille.	C'est normal, mais tu as l'air d'être une personne attentionnée.				
Il y a quelques semaines, il y a eu un incendie dans notre panneau électrique.	Ouah, c'est terrifiant de devenir vraiment gros ? Est-ce que ça a				
Heureusement non ! Il est resté dans une seule pièce, sur un seul mur.	C'est une chance folle. Je suis content que tout se soit bien terminé.				
Aujourd'hui, mon amie a fait l'admiration de tous, car elle a gagné le concours de chant au travail. Elle est si timide et personne n'aurait jamais su qu'elle savait chanter.	C'est vraiment cool ! Je parie que les gens ont vraiment sous-estimé cet outsider !				
Je suis d'accord ! J'ai été étonnée par sa performance. Elle s'est vraiment bien débrouillée.	C'est génial ! Peut-être qu'elle sortira de sa coquille.				
Dernièrement, je me suis sentie fière de ma réussite en tant que nouvelle mère célibataire. On se sent parfois seul, mais je peux honnêtement dire que j'ai fait tout ce que je pouvais et plus encore.	Continue à faire du bon travail ! Tu réussiras dans la vie et tu seras un bon modèle pour tes enfants.				
Merci ! J'ai vraiment envie de me sentir forte pour eux. J'espère qu'un jour ils pourront se rendre compte de mes efforts.	Ils remarqueront à quel point tu es attentionnée ! Ne te coupe jamais les cheveux en quatre !				
L'un de mes moments les plus embarrassants, c'est lorsque je sautais par-dessus mon sac à dos et que mon pied s'est pris dans la poignée. C'est la seule fois où je suis réellement tombée sur le visage.	Oh non ! Quelle maladresse ! Est-ce que quelqu'un l'a vu ?				
Pas mal, mais je connaissais la plupart d'entre eux. Je considère que c'est mieux que de tomber devant un groupe d'inconnus.	Probablement, mais c'est quand même la pire chose qui soit.  Es-tu enfin capable d'en rire ?				
J'ai une telle peur de l'avion, alors tu peux imaginer ce que j'ai ressenti lorsque mon mari nous a acheté un bon de saut en parachute pour mon 30e anniversaire ! Il était si excité et j'étais si nerveuse et mal à l'aise.	C'est un homme courageux. Comment s'est passée l'expérience ?				
Le jour est arrivé et nous sommes partis en voyage.  Nous sommes arrivés sur place pour trouver tous nos amis et notre famille présents pour nous encourager.  Nous sommes montés dans l'avion et bien sûr, pendant que les adorables instructeurs essayaient de me rassurer tout le temps, j'ai essayé désespérément de garder mon petit-déjeuner !  Cependant, après les nerfs et la panique initiale lorsque nous avons sauté, c'était en fait l'une des expériences les plus incroyables de ma vie !	Cela semble incroyable ! J'espère que cela t'a aidé à vaincre ta peur !				
Une fois, mon chien est tombé très malade. C'était effrayant mais j'ai décidé de faire entièrement confiance à mon vétérinaire et il est toujours en bonne santé aujourd'hui.	Je suis contente ! Tu dois avoir un très bon vétérinaire				
Définitivement. J'ai déménagé et il a été difficile de trouver un remplaçant.	Je suis heureuse que tu aies trouvé quelqu'un de valable !				
J'ai une pléthore d'amis incroyables. L'une des miennes m'a récemment conduite de la Géorgie au sud de la Floride	Cela ressemble vraiment à un bon ami. Le trajet est long ?				
C'est un trajet de 8 heures ! La Floride est un État très long	Tu as de la chance d'avoir une si bonne amie !				
J'ai récemment bousillé ma voiture. Il n'y a pas eu de blessures mais je me sens absolument mal	Oh non ! Je suis passé par là. Comment cela s'est-il passé ?				
C'était très humide et j'ai pris un virage à une vitesse trop élevée.	Je suis heureuse que tu sois en sécurité ! Ces routes peuvent être dangereuses.				
Ma mère et moi n'avons pas toujours eu les meilleures relations. Récemment, j'ai dû me dire de la laisser entrer davantage. Cela a été un véritable défi.	J'espère que ta relation continuera à se renforcer.				
Merci. Je sais que, même si c'est difficile, je dois être patiente pour améliorer notre relation.	Je suis d'accord. La vie est courte et avoir ces relations est très important.				
J'ai eu beaucoup de mal à faire en sorte que mon rat de compagnie s'entende avec les autres. Elle a toujours été très agressive !	Oh non ! J'espère qu'il ne mordra personne. Cela peut faire mal aux nerfs.				
Elle n'a jamais mordu personne, heureusement, mais elle devient folle avec les autres rats. À ma grande surprise, je l'ai récemment trouvée en train de se blottir contre les autres qu'elle essaie habituellement de combattre !	Je suis contente que ça se soit bien passé. Je parie que tu es enfin satisfaite qu'elle soit entourée d'autres rats.				
J'étais tellement inquiète de ne pas pouvoir payer mes frais de scolarité ce semestre. Heureusement, mon patron a décidé de nous donner une grosse prime.	Félicitations ! S'inquiéter des frais de scolarité est la pire des paniques !				
Oui et c'est le dernier avant mon diplôme ! Je ne peux pas être plus reconnaissante pour sa générosité.	Tu vas tout déchirer ce semestre ! Tu seras si fière quand tu marcheras dans l'allée pour recevoir ton diplôme.				
Le mois dernier, j'ai pu visiter Six Flags !	C'est génial et ça a l'air très amusant !				
C'était incroyable. La dernière fois que je suis allée dans un parc d'attractions devait être il y a plus de dix ans !	Je n'y suis pas allée depuis des années ! C'était aussi amusant cette fois qu'il y a des années ?				
Le petit ami de ma sœur m'a appelé pour me dire qu'elle avait eu un accident de voiture et qu'elle était transportée par avion à l'hôpital, sans aucune information sur son état. Juste que je dois y aller rapidement.	Oh mon Dieu ! Est-ce qu'elle va s'en sortir ?				
C'était un cauchemar car j'ai dû faire deux heures de route pour me rendre là où elle se trouvait, sans aucune nouvelle d'elle. L'inconnu pendant cette période était horrible. Mais, oui, elle va s'en sortir.	L'inconnu est toujours si effrayant, mais surtout dans ton cas ! Je suis si heureuse qu'elle s'en sorte. J'espère que cela te met plus à l'aise maintenant.				
J'aime mon chien. La façon dont nous sommes fidèles l'un à l'autre... il n'y a pas d'autre lien comme celui-là.	C'est merveilleux.  Quel est le nom de ton chien ?				
Le nom de mon chien est Blu. C'est un bouledogue américain et elle pèse près de 100 livres.	C'est un gros chien.  Blu est un nom cool !				
J'ai commencé un nouveau travail, c'est tellement différent de ce que j'ai toujours fait.	Est-ce que tu apprécies au moins ton nouveau travail ?				
Je le fais, c'est juste un travail difficile, habituée à être assise à un bureau.	Avec un peu de chance, plus tu t'habitueras à ton nouveau travail, plus ce sera facile.				
Je travaille dans une usine de produits laitiers à San Antonio. Je travaille dans un petit groupe et ils sont très proches de moi. C'est humiliant d'avoir un groupe de gars très soudés qui te soutiennent pour certaines choses.	Cela semble génial. Beaucoup de gens tueraient pour avoir un environnement de travail coopératif. Je parie que cela augmente aussi les performances.				
Absolument, ces gars et moi essayons généralement de faire notre travail rapidement et d'avoir des temps morts pour traîner quand le temps le permet. Je pasteurise du lait pour vivre et c'est très amusant.	Wow, cela semble être un processus intéressant ! Je ne l'ai jamais fait moi-même, mais cela semble être quelque chose que j'aimerais apprendre.				
L'autre jour, j'ai remarqué que mon animal avait une excroissance sur le bas de son ventre. Je crains que ce soit une tumeur.	Quel genre d'animal est-ce ? J'espère que ton animal va bien !				
C'est un rat, donc son corps est très fragile. Je suis triste de savoir qu'elle ne s'en sortira probablement pas. Elle a été avec moi contre vents et marées.	J'ai entendu dire que les rats faisaient des animaux de compagnie géniaux, je suis vraiment désolée ! Ton rat souffre-t-il ?				
Pendant mes études supérieures, j'ai manqué un concert des Foo Fighters auquel mes amis sont allés ; j'étais vraiment jaloux.	J'adore aussi les Foo Fighters.  J'aurais été furieuse !  Que s'est-il passé ?				
Je devais juste étudier pour les quatre examens que j'avais à venir, mais j'ai pu voir un tas de vidéos cool de mes amis.	Ce n'est pas trop mal alors.  Bravo pour avoir fait passer ton éducation et tes études en premier.  Je suis sûre que ce n'était pas facile à l'époque.				
J'ai récemment fait un grand nettoyage et je suis tombée sur mon vieux livre d'année du lycée.  Cela fait longtemps que j'ai quitté l'école et je n'arrivais pas à croire que je l'avais encore.  Un tel sentiment de nostalgie en regardant les vieilles photos et en lisant les histoires.	Est-ce que vous écriviez encore des notes dans les livres des autres au lycée ?				
Oui ! J'ai ri et parfois pleuré un peu en les lisant, surtout ceux de certains vieux amis qui ne sont plus là.  Cela m'a même rappelé de bons souvenirs du bal de fin d'année et de notre fête de fin d'année scolaire.	C'est incroyable le nombre de sentiments et de souvenirs que des souvenirs comme ceux-là peuvent faire remonter.				
J'ai laissé la fille de mes rêves s'échapper. Maintenant, je suis seul.	Je suis sûre qu'avec l'aide et le soutien, il ira bien.				
Je l'espère. Je pense que le temps guérit toutes les blessures.	Définitivement, je le pense aussi, le temps et les bons soins.				
Je ne crois pas que tu l'aies fait ! Il n'est pas encore disponible !	Oh lol.				
J'étais excitée lorsque mes parents m'ont offert une voiture comme cadeau de fin d'études.	Oh, cela semble très excitant ! Quel genre de voiture ?				
c'était une ford pour 05 focus !	C'est vraiment génial ! Heureuse pour toi !				
J'étais à une fête une fois et j'ai vu quelqu'un vomir sur quelqu'un d'autre.	C'est méchant, est-ce que ça a atteint quelqu'un d'autre ? Ce ne serait pas drôle.				
Elle s'est retrouvée sur de nombreuses personnes. C'était dégoûtant.	C'est tellement méchant, je suis contente de ne pas avoir été là.				
Alors je viens d'acheter une corvette toute neuve et j'ai laissé mon ami la troquer pour aller en dehors de la ville.	C'est génial ! Espérons qu'il reviendra en un seul morceau.				
Je suis d'accord ! Elle en prendra soin. J'ai confiance qu'elle le ramènera comme elle l'a eu ! lol	Je pense que tout ira bien. Je parie que la nouvelle voiture fonctionne bien.				
Je suis récemment allée à la piscine et j'ai perdu mon maillot. Mon maillot de bain était dans l'eau sans moi !	Oh là là ! J'espère que tu étais la seule là-bas ! Sinon, cela aurait été effrayant !				
Je ne l'étais pas, malheureusement. Les gens ont tout vu !	Oh mon Dieu ! Comme c'est embarrassant ! On dirait que tu vas rester à l'intérieur pendant un moment.				
Mon mari ne reviendra pas avant un mois à cause de son travail et je suis seule à la maison.	Je suis sûre que c'est dur.  Il doit vraiment te manquer.				
Oui, je n'ai pas d'animaux ni d'enfants alors je suis juste ici dans une maison vide.	Est-ce que tu es nerveuse quand tu es seule ?				
Non, je m'ennuie juste. Je suis nouvelle dans cette ville alors je ne connais personne non plus.	Oh, cela semble encore plus difficile.  C'est une longue période mais j'espère qu'elle passera vite pour toi et que ton mari sera de retour à la maison.				
Oui, je suis d'accord ! Je me sens tellement impuissante quand je suis seule à la maison.	Je suis sûre que tu ne l'as pas fait !				
J'ai vécu la pire des expériences le week-end dernier.  Je me suis réveillée pour découvrir que quelqu'un avait volé ma voiture ! J'étais en état de choc absolu et je ne pouvais pas le croire.	C'est horrible ! As-tu fait appel à la police ?				
Eh bien oui.  Pendant que j'étais dans mon étourdissement, absolument horrifiée, mon mari, qui a la tête froide, a fait toutes les choses pratiques comme contacter la police et la compagnie d'assurance, etc.	Oui, j'aurais ressenti la même chose.				
Heureusement, la compagnie d'assurance m'a offert une voiture de courtoisie pour le moment, mais je n'arrive toujours pas à croire qu'il y a des gens qui font des choses aussi terribles !	C'est dommage que nous devions nous inquiéter de ce genre de choses.				
J'attends de recevoir plus d'argent, je lance une nouvelle entreprise alors croise les doigts !	J'espère que les affaires se passent bien !				
Oui, moi aussi ! Je me sens préparée alors on verra.	C'est génial. Je suis sûre que tu feras des bénéfices en un rien de temps.				
J'ai laissé un intérêt romantique me glisser entre les doigts. Elle est maintenant avec quelqu'un que je méprise	Wow, c'est tellement triste. Espérons qu'un nouvel amour te viendra !				
Je pense que oui. J'ai beaucoup de temps et la vie continue	Bien sûr, il n'est jamais trop tard. Et on ne sait jamais ce qui va se passer bientôt.				
Je me sens bien en ce moment. J'ai un nouvel album qui sort et c'est libérateur d'avoir terminé !	Très bien ! Je parie que tu en es très fière et que tu es impatiente de voir ce qui pourrait en découler.				
Je suis très excitée. Il dure presque une heure et demie	Je parie que tu as travaillé très dur dessus ! Ce sera génial !				
Aujourd'hui, après une longue journée de travail, je suis restée dans les embouteillages pendant 2 heures à cause de la construction de l'autoroute !	C'est une tonne de trafic. J'espère qu'ils termineront bientôt leur projet				
Moi aussi ! Je suis tellement frustrée parce qu'il n'y a pas de routes secondaires vers ma maison et que je dois donc subir ça pendant les deux prochaines semaines.	C'est malheureux. J'aimerais que nous puissions voler parfois.				
Ma vieille amie m'a surpris avec un appel téléphonique aujourd'hui. Je n'ai pas eu de nouvelles d'elle depuis le lycée.	Comme c'est charmant !  Je pense que c'était tellement nostalgique de parler de vieux temps ensemble.				
