Question	Reponse
As-tu lu The Help ?	Je n'en ai jamais entendu parler.
Comment as-tu vu les locations de scooters ?	Je n'en ai pas encore vu
Tu te souviens de moi ?	Je ne me souviens pas de ton nom mais je me souviens de mon ami(e) :-)
Tu te souviens de moi ?	Je ne pourrai jamais oublier mon meilleur ami.
Tu te souviens de moi ?	Je ne me souviens pas de ton nom mais je ne peux pas oublier mon ami(e) ;)
Tu dois être à la maison à une certaine heure ?	La joie d'être célibataire, mon temps m'appartient.
Tu as envie de faire une longue promenade demain ?	Une promenade à l'extérieur serait rafraîchissante.
Écoutes-tu toujours Lady Gaga ?	Je n'aime pas trop la pop.
Tu aimes les fruits de mer ?	Les crevettes sont délicieuses.
Tu aimes regarder des films ?	Je vais souvent au cinéma à proximité.
Est-ce que c'est technique ?	Le poste est créatif.
Tu es de cette ville ?	J'ai grandi ici.
Préfères-tu lire de la fiction ?	The witcher est une sorte de fiction :-)
Tu veux louer ou acheter ?	Posséder est un meilleur investissement.
Tu as déjà lu de la littérature russe ?	Je ne peux pas dire que j'ai
Tu as des projets pour ce week-end ?	Je vais retrouver quelques amis.
Est-ce que le karaoké est quelque chose que tu aimes ?	Je trouve cela extrêmement gênant.
Tu as déménagé d'un endroit proche ?	Je viens du Canada.
Tu préfères les restaurants chics ?	Je les aime bien
As-tu déjà pris un jour de congé maladie alors que tu n'étais pas réellement malade ?	Je ne peux pas m'imaginer faire ça.
Tu aimes manger de la fusion asiatique ?	Je ne l'ai jamais essayé
Tu as des projets de dîner ?	Je l'ai fait mais ils ont été annulés.
Tu aimes faire des randonnées ?	Quand j'ai de bonnes chaussures.
Tu aimes le jazz ?	Un peu.
Tu veux venir manger chez nous ?	J'ai un rôti dans le four.
Tu pars demain ?	Je reste ici pendant deux semaines
As-tu toujours travaillé dans ce domaine ?	Je n'ai pas d'expérience dans ce domaine
As-tu déjà essayé Sweetish Hill sur la 6e ?	Oh, cela ressemble à un endroit que j'aimerais essayer.
Tu es un lecteur passionné ?	Je lis tous les soirs avant de me coucher.
As-tu un instrument préféré ?	J'adore les tambours.
Tu es à l'hôtel ?	Je suis pour l'instant
Bonjour et ravi de te voir, que fais-tu comme travail ?	J'ai été au chômage.
Es-tu douée pour te faire de nouveaux amis ?	J'ai quelques bons amis.
Ton travail t'oblige-t-il à voyager ?	Seule la communte
Es-tu prête à faire une randonnée demain matin ?	Je suis prêt à tout.
Participeras-tu à des activités sportives le samedi ?	J'ai un traitement de canal prévu ce jour-là.
As-tu assisté à un concert de l'orchestre ?	Je ne l'ai pas encore fait
Tu veux faire de la randonnée ?	Cela dépend de la météo.
Joue-tu d'un instrument de musique ?	Je joue à plusieurs
Écoutes-tu de la musique quand tu fais de l'exercice ?	Je ne peux pas m'entraîner sans musique.
As-tu lu Harry Potter ?	Ces livres étaient les préférés de mon club de lecture.
As-tu des amis qui vivent dans le coin ?	Quelques-uns.
Est-ce que tu proposes le prix demandé ?	juste un peu en dessous
Tu peux te permettre de payer 5 000 dollars par mois ?	J'ai un gros budget.
Tu as de la famille dans le coin ?	Mes frères et sœurs vivent à proximité.
Tu aimes les musées ?	Je ne le fais jamais.
Tu as un prêt hypothécaire en ce moment ?	J'ai remboursé mon hypothèque l'année dernière.
Comment as-tu vu les locations de scooters ?	J'en ai essayé un à San Diego -- ils sont amusants.
Tu es un fan de livres d'horreur ?	Plus c'est effrayant, mieux c'est
Travailles-tu dans la région ?	Je travaille assez près d'ici.
Es-tu soulagée que ce soit vendredi ?	Je suis toujours heureuse de voir Vendredi
Es-tu un superviseur ?	Je suis un manager
Est-ce que tu es souvent promu ?	J'ai été promu plusieurs fois.
Vous voulez aller chercher quelque chose à manger ?	Je pourrais manger un morceau.
Le voyage était-il bon ?	Le voyage a été court et doux !
Sais-tu combien coûtent généralement les appartements ?	J'ai une bonne idée
Tu vis ici depuis longtemps ?	seulement quelques mois
Apprécies-tu la maison de draft Alamo ?	Je suis un habitué des lieux.
Tu fais parfois de la randonnée ?	Je l'ai fait une ou deux fois
Tu es un fan de sport ?	J'encourage nos équipes locales.
Tu aimes les livres de Steven King ?	Je préfère les livres de Stephen King.
Es-tu resté en contact avec quelqu'un de l'école ?	Je n'ai pas eu de nouvelles de quelqu'un depuis des années.
Tu es fan de nourriture étrangère ?	Je ne peux pas penser à un seul que je n'ai pas apprécié.
Tu as des projets de vacances ?	Je veux aller à la plage !
Salut, tu vas bien ?	Je pense que je viens de casser mon orteil de robot.
Tu as déménagé de l'extérieur de la ville ?	J'ai emménagé dans la ville voisine.
Tu aimes les contenus effrayants ?	"J'adore les films d'horreur. ""The conjuring"" ;)"
Tu aimes le cardio ?	Seulement les week-ends
Tu aimes le rap ?	Eminem yeaaah !
Tu aimes la musique ?	Je joue du saxophone.
Qu'aimerais-tu visiter en premier ?	Le musée dont tu as parlé a l'air fascinant.
Vous sortez tous les deux ensemble maintenant ?	Nous n'avons pas commencé à sortir ensemble.
Écoutes-tu de la nouvelle musique chaque vendredi ?	J'écoute de la nouvelle musique dès que j'en ai l'occasion.
Tu es nouveau à Austin ?	Je viens de déménager de Dallas.
Tu aimerais avoir un balcon ?	Ce serait l'idéal
Es-tu végétarienne ?	Cela dépend.
Le shopping, c'est ton truc ?	Je préfère les activités gratuites.
Tu aimerais venir dîner ?	Cela semble charmant.
Tu es divorcée ?	Je n'ai jamais été mariée.
Tu aimes les livres de mystère ?	"Comme ""Sherlock Holmes"" ?"
Tu es toujours fiancée ?	Elle a rompu nos fiançailles le mois dernier.
Est-ce que tu irais à un spectacle de métal ?	Je pense que l'énergie d'un spectacle de métal serait follement cool.
Ton travail est près de chez toi ?	J'ai un long trajet.
Préfères-tu tenir un livre ?	Je préfère un E-reader.
Tu veux prêter un livre d'auto-assistance ?	Bien sûr, c'est très bien.
Il fait froid ce soir, n'est-ce pas ?	On est en janvier, donc c'est logique.
Tu vas à un spectacle ce week-end ?	Je n'ai pas de billet
Peux-tu manger n'importe quel type de nourriture ?	Je suis un pescatarien.
Tu veux aller au cinéma ?	J'ai besoin de voir des films nommés aux Oscars.
Es-tu allé au nouveau bar du quartier ?	Je viens de voir une annonce pour cet endroit, mais je ne sais pas exactement où il se trouve.
Es-tu un gentil ?	Je fais de mon mieux pour l'être.
Tu dois faire du levage lourd ?	Je travaille à un bureau, donc je ne dois pas soulever de charges.
Es-tu heureuse ?	Quand je suis avec ma famille et mes amis.
Tu as des projets pour le week-end ?	Je n'ai rien sur mon calendrier.
Tu es nouveau dans le quartier ?	Nous sommes ici depuis 2 ans maintenant.
Tu es un fan des classiques ?	Je préfère les livres contemporains.
Fais-tu quelque chose d'amusant ce week-end ?	Nous allons dans un spa.
Es-tu disponible pour déménager en avril ?	Je ne pourrai pas déménager avant juillet.
Tu envisages de déménager bientôt ?	Dès que possible
Tu aimes les livres sur l'astrologie ?	Ils semblent datés maintenant que les diagrammes astrologiques ont été révisés.
Tu as déjà une belle maison ?	Nous venons d'en acheter un en bas de la rue d'ici.
Tu aimes nager ?	Je nage toutes les semaines.
Apprécie-tu ton travail actuel ?	Cela a été une bonne expérience d'apprentissage.
Tu aimes le rock ?	Je n'aime que le rock classique.
Tu aimes toujours les films de science-fiction ?	Je ne suis plus un fan
La plage est un endroit où tu aimes aller ?	J'aime le plein air
As-tu entendu parler des mystères du Père Brown ?	Je ne suis pas familier.
Tu es un fan de la littérature classique ?	Je n'étais pas très intéressée par ceux que nous lisions à l'école.
Tu as été à l'ACL Festival ?	Je prévois d'y aller pour la première fois cette année.
Le salaire est-il bon ?	J'ai un super salaire.
Tu as décidé du quartier dans lequel tu veux acheter ?	Je suis encore en train de décider.
Es-tu allergique à l'ail ?	Je suis seulement allergique au blé.
Tu aimes les chiens ?	Oui ! mais je suis plutôt une personne qui aime les chats.
Est-ce que tu y vivrais à nouveau si tu en avais l'occasion ?	Je n'ai aucune envie de revenir en arrière.
Tu aimes la musique pop ?	Imagine Dragons sont vraiment bons <3
Tu connais Imagine Dragons ?	Je les adore :-)
Tu écoutes Imagine Dragons ?	Oui, j'adore leur musique !
Tu connais Eminem ?	Will the real slim shady please stand up
Tu connaitrais Eminem ?	Slim shaaadyyy
Ecoutes-tu Eminem ?	J'adore sa musique.
Tu connais Blues Saraceno ?	Je l'aime.
Tu aimes Blues Saraceno ?	J'adore sa musique. <3
Tu connais Hozier ?	J'adore sa musique.
Connais-tu Michael Jackson ?	J'apprécie sa musique.
T'as déjà écouté Taylor Swift ?	J'adore sa musique.
Écoutes-tu Katy Perry ?	Je l'aime.
Tu connais The witcher ?	Oui, je l'adore.
Tu aimes Sia ?	Oui, j'adore son travail.
"Tu connais ""Harry potter""?"	Oui, je l'adore ! <3
Tu connais Sia ?	Je ne suis pas sûre.
As-tu été transféré pour le travail ?	J'ai déménagé pour me rapprocher de ma famille.
Ton vol était-il sans escale ?	J'avais une escale de deux heures.
Tu aimes les frites ?	BIEN SÛR, QUI NE LE FAIT PAS ?
Tu as des projets pour ce week-end ?	J'aborde les leçons de tennis.
Tu vas à un spectacle ce week-end ?	Je verrai peut-être ce groupe local jouer au café si je peux le faire.
Es-tu prête à t'amuser ?	Tu parles que je suis
As-tu parlé à quelqu'un d'autre de notre enfance ?	Je ne l'ai pas fait depuis un certain nombre d'années
Tu vas à la salle de sport ?	J'y suis allée hier.
Tu es intolérant au lactose	Je peux manger n'importe quoi,
Tu prévois de déménager là-bas bientôt ?	J'espère y être d'ici cet automne.
Tu aimes les romans avec une intrigue compliquée ?	Les rebondissements rendent la plupart des livres plus agréables.
Tu vas prendre un plat à emporter ce soir ?	S'il y a des offres spéciales !
Tu aimes aller aux matchs de baseball ?	Quand il n'y a pas une grande foule.
As-tu des projets pour plus tard ?	Je vais probablement regarder quelque chose en boucle.
Es-tu toujours en contact avec quelqu'un du quartier ?	Je me retrouve avec quelques-uns d'entre eux au moins une fois par an.
As-tu déjà écouté le nouvel album de Drake ?	Je ne l'ai pas encore entendu
As-tu écouté Tame Impala ?	Cela ne me dit rien.
Tes frères et sœurs sont à proximité ?	ils sont partout
Est-ce que tu chantes dans les bars karaoké ?	Personne ne me fera chanter devant une foule.
Tu vis dans l'immeuble depuis longtemps ?	Environ un mois maintenant.
Ton nouveau travail se passe bien ?	J'adore jusqu'à présent
Serais-tu intéressé par des événements culturels dans la région ?	Cela dépend de ce qu'ils sont
Vas-tu te connecter à la réunion générale en ligne ?	Je vais plus tard un
Qui est ton groupe de rock préféré ?	AC-DC <3
Est-ce que tu proposes le prix demandé ?	J'ai demandé une remise pour l'emménagement.
Lis-tu des livres internationaux ?	Je le fais parfois
Est-ce que tu aimes ton travail ?	Cela a été un défi.
On va boire un verre dans un bar ?	Nous pourrions peut-être aussi dîner ensemble
Tu cherches quelque chose de plus stimulant mentalement ?	Je me suis ennuyée.
Comment rentres-tu chez toi ce soir ?	J'ai ma voiture avec moi.
Y a-t-il de jeunes familles dans ce quartier ?	Il y a beaucoup de jeunes familles dans le quartier.
Tu aimes la musique Hip Hop ?	J'aime certaines des tendances les plus récentes, mais je ne supporte pas le rap des années 90.
Tu aimes le mystère ?	Oui.
Tu as envie de boire un verre après ton long voyage ?	Ce serait rafraîchissant.
Tu aimes les changements dans la ville ?	Les vieux trucs me manquent.
Ce n'est pas très cher ?	C'est plus que ce que je pensais
Tu aimes lire des biographies ?	Je préfère la high fantasy.
Est-ce que tu dois travailler demain ?	Le service commence à 7 heures.
Tu manges souvent ici ?	Je crois que j'ai ma propre table dans le coin.
Tu es allée à l'université à l'étranger ?	Je suis allé en Allemagne.
Quel est ton plat préféré ?	La pizza est le numéro un.
Tu es allé au cinéma dernièrement ?	Cela fait des années que je ne suis pas sortie pour voir un film au cinéma.
Tu as besoin d'une cour ?	Ce serait génial d'avoir un endroit où s'asseoir en été, mais ce n'est pas essentiel.
Tu es un fan de Hip Hop ?	Je ne l'aime vraiment pas.
Tu aimes l'art ?	J'adore l'art moderne.
Es-tu prêt à visiter un musée avec moi ?	J'aimerais voir la nouvelle exposition au musée d'art.
Tu aimerais aller à un concert classique ?	Je pense que je le ferais
Tu aimes la viande rouge ?	Je ne mange que de la viande blanche.
Tu as des enfants ?	Je n'ai que le seul
Tu vas conduire ta voiture pour aller travailler ?	C'est le plan
Sais-tu beaucoup de choses sur cette ville ?	Seulement ce que tu m'as dit.
Devrions-nous sortir pour un repas chaud ce soir ?	Je vais prendre un chèque de pluie.
Tu veux aller au cinéma ?	Je préférerais regarder Netflix.
Où travailles-tu ?	Au bureau de poste.
Tu te souviens bien de notre bloc ?	J'étais vraiment jeune quand nous vivions ici.
Comment rentres-tu chez toi ce soir ?	On me ramène à la maison.
Tu aimes voyager ?	Je vais en Chine chaque année.
C'est vrai que tu as adopté quatre enfants ?	Je n'ai qu'un seul fils.
Tu aimes écouter de la musique classique ?	Seulement lors des récitals amateurs.
J'ai des billets pour un festival de musique EDM, est-ce que cela ressemble à quelque chose que tu voudrais faire ?	Qu'est-ce que l'EDM ?
Ferais-tu 30 minutes de route pour aller travailler ?	Ce sera la moitié de cela.
Tu aimes la randonnée ?	Je n'ai jamais aimé la randonnée
Tu veux aller au marché fermier avec moi ce week-end ?	Je dois aller chercher des oignons.
As-tu des enfants ?	Nous avons une brioche dans le four.
Peux-tu toujours faire cette drôle de chose avec ta langue ?	C'est génétique, donc je serai probablement toujours capable de le faire.
Tu cherches à vivre dans un quartier spécifique ?	Je n'ai pas encore décidé
Tu aimes les galeries d'art et les musées ?	Je ne peux pas imaginer un meilleur samedi.
Ferais-tu un jour du parachutisme ?	Si je pouvais avoir le courage de le faire.
As-tu besoin d'un diplôme universitaire pour ce travail ?	Il faut être titulaire d'un BA.
Auras-tu un trajet plus long si tu changes d'établissement ?	Pas s'ils me laissent travailler à distance.
Tu es déjà allée dans un autre pays ?	J'ai été dans trois pays.
Tu aimes être à l'extérieur ?	J'adore être dehors.
Tu aimes être sur l'eau ?	J'ai peur de me noyer.
C'est dans la technologie ?	Je travaille dans le domaine des arts.
Es-tu heureuse avec tes collègues de travail maintenant ?	Ils sont tous si utiles !
Tu vas déménager à New York ?	Je ne sais pas combien de temps je vais rester.
Tu es déjà allée à New York ?	Ce sera ma première fois.
Le quartier a t-il une bonne réputation ?	Tous les sites Web que j'ai consultés ont d'excellentes critiques sur la région.
Tu veux qu'on se retrouve plus tard pour rattraper le temps perdu ?	J'ai des projets ce soir, mais je suis libre demain.
As-tu des projets ?	Je suis libre jusqu'à 3 heures.
Est-ce que cela doit être dans la ville même ?	C'est le plan.
Tu es employée à plein temps ?	Je serai au bureau du lundi au vendredi.
Tu aimes la musique de Gwen Stefani ?	Je ne l'ai pas écoutée.
Tu es un Superviseur maintenant ?	Je le serai bientôt
Tu es déjà venu dans cette région ?	Juste quand nous étions en train de vérifier l'endroit.
Es-tu excitée pour le week-end ?	J'ai hâte de rentrer à la maison et de faire une sieste.
Tu vas au supermarché ?	J'y suis allée hier.
Tu as reçu la clé de la piscine ?	Je dois le demander.
Tu cherches un appartement coûteux ?	J'ai besoin de quelque chose de moins cher.
As-tu déjà lu Dean Koontz ?	J'en ai essayé quelques-uns.
Tu t'es sentie bien ?	Je suis un homme chanceux.
Tu vis toujours dans le coin ?	Je ne fais que visiter.
Est-ce que sortir pour dîner ce soir te semble bien ?	Si nous pouvons obtenir du chinois.
C'est déjà la fin de la journée ?	Le temps passe vite !
Comment s'est passé ton voyage ici ?	Je n'ai pas eu de problèmes.
Est-ce que tu vas parfois traîner dans le bar du coin ?	Tous les week-ends
Tu préfères les gâteaux ou les tartes ?	Les gâteaux sont meilleurs que les tartes pour moi.
Tu aimes les jeux de hasard ?	Je suis un champion du trivia.
C'est vraiment toi ?	C'est moi !
As-tu décidé lequel tu veux ?	J'ai réduit la liste à trois.
Est-ce qu'il t'arrive de travailler à domicile ?	Je l'ai fait, mais je n'aime pas ça.
Tu as décidé du quartier dans lequel tu veux acheter ?	Je suis ouvert à quelques domaines.
Est-ce que tu manges souvent au restaurant ?	J'essaie de sortir une fois par semaine.
As-tu trouvé un emploi ?	Je suis une mère au foyer.
Es-tu prêt à profiter du week-end ?	La semaine a été longue.
Tu veux me recommander un livre de non-fiction ?	J'ai une liste sur mon téléphone
Peux-tu supporter le coût de la vie là-bas ?	Je gagne beaucoup d'argent maintenant.
Tu vis en ville ?	Je vis à 10 minutes d'elle
Es-tu prête à sortir pour le dîner ?	Je dois prendre une douche avant de sortir.
Tu as des endroits en tête où tu veux aller ?	Il n'y a rien dans mon esprit.
Es-tu déjà venu ici ?	Je n'y suis pas allée depuis un moment
As-tu lu The Help ?	Je n'ai jamais lu de livres de Kathryn Stockett.
Ton frère est toujours à Londres ?	Il est en Jamaïque maintenant.
Es-tu devenu chirurgien ?	J'ai abandonné l'école de médecine.
Tu aimes nager ?	Je ne possède pas de costume.
Tu aimes travailler avec les gens ?	C'est bien d'avoir une équipe.
Tu aimes lire des livres ?	Quand il neige dehors.
Tes enfants iront-ils à l'école locale ?	Seulement s'ils peuvent tous entrer.
Tu as aimé le dernier restaurant méditerranéen où nous sommes allés ?	Je n'ai aimé que la salade.
Tu aimes les activités de plein air ?	J'aime sentir le vent sur mon visage et le soleil sur mon dos.
Tu es déjà allée au centre-ville ?	Nous n'avons pas encore beaucoup exploré.
Tu seras là demain ?	Seulement si mon patron m'appelle.
Tu travailles depuis longtemps dans ton entreprise ?	Ce sera ma dix-neuvième année.
Cela va-t-il coûter cher ?	Je ne regarde que les endroits qui correspondent à mon budget.
Ton vol a été agréable ?	Il y avait un bébé qui pleurait pendant la majeure partie de la séance.
Tu aimes manger des plats épicés ?	Tant qu'il ne fait pas trop chaud
As-tu apprécié la variété de nourriture à volonté que nous avons eue la semaine dernière ?	C'était génial !
Tu aimes le riz chinois ?	Avec du porc !
Tu as déjà fait du kayak ?	J'ai fait du kayak en Suède.
Tu veux commander une pizza ?	Si nous pouvons obtenir un fromage ordinaire.
Tu aimes les aliments épicés ?	Je n'ai jamais pu tolérer les plats chauds.
Tu as tes enfants ce week-end ?	Je suis libre ce week-end.
Lis-tu des romans policiers ?	Les romans policiers m'ennuient.
As-tu déjà joué d'un instrument ?	J'ai joué de la flûte à l'école.
Sais-tu chanter ?	Je ne peux pas porter un air.
Tu aimes les arts ?	Je suis une illustratrice.
Est-ce que voyager pour le travail serait acceptable ?	Si c'est nécessaire, je le ferai.
As-tu fréquenté l'école secondaire du quartier ?	Les quatre années.
As-tu dansé lors de l'événement ?	Je ne pouvais pas m'arrêter, la musique était chaude.
As-tu déjà essayé la nourriture mexicaine ?	Plusieurs fois.
Tu as envie d'essayer un restaurant de burgers mom and pop près de chez moi ?	Je préférerais quelque chose d'un peu moins décontracté.
Tu prévois un week-end chargé ?	Plutôt un calme
Tu aimes lire des magazines ?	J'aime les magazines sur l'électronique.
As-tu vu le nouveau film de Stephen King ?	Chapter Two of It était l'un des meilleurs films que j'ai vu récemment.
Sais-tu à quel point NYC est chère ?	J'ai entendu dire que c'est la ville la plus chère d'Amérique !
Préfères-tu une autre carrière ?	Seulement si les possibilités de promotion sont meilleures.
Veux-tu un bureau personnel ?	Un endroit avec une porte que je peux fermer serait génial.
Choisis-tu les livres en fonction des critiques des lecteurs ?	Si le livre a beaucoup de commentaires positifs, je le lirai peut-être.
Tu veux une histoire de romance ?	Tant que c'est bien écrit.
Tu aimes le rock classique ?	J'ai aimé certains des vieux trucs
As-tu voyagé hors du pays ?	Je possède une maison au Mexique.
Ton frère est toujours à Londres ?	Il est toujours là
Ton travail implique-t-il un service client ?	Je n'ai pas à m'occuper des clients.
Tu aimes les arts ?	Je ne sais pas ce que je ferais sans les artistes et l'art dans ma vie.
Tu cherches des livres qui t'attirent tout de suite ?	J'adore les livres qui me rendent accro dès le début.
Tu aimes le Rnb ?	Je préfère le Rap ou la Pop.
Tu manges en respectant ton budget ?	J'essaie de réduire les sommes que je dépense pour manger à l'extérieur.
Les activités extérieures sont-elles quelque chose que tu aimes ?	J'adore me promener dans une prairie.
Tu as décidé du quartier dans lequel tu veux acheter ?	J'ai encore des recherches à faire.
Est-ce à plein temps ?	c'est à la minute
As-tu déjà vu un groupe jouer en direct ?	Je l'ai fait il y a un moment
Tu aimes la cuisine italienne ?	La cuisine italienne est ma préférée de tous les temps.
As-tu apprécié la dernière promenade que nous avons faite ?	C'était vraiment relaxant.
Tu aimes le vélo ?	Je fais du vélo tous les jours.
Tu aimes les romans policiers ?	Je préfère les romans policiers authentiques
Tu aimes travailler en groupe ?	Je préfère travailler seule.
Est-ce que tu relis tes livres préférés ?	Cela dépend du livre.
Tu aimes les romans ?	J'aime les histoires plus longues car elles retiennent mon attention.
Tu possèdes une voiture ?	J'ai une Honda Civic.
Tu aimes faire de l'exercice ou tu fais de l'athlétisme ?	J'aime faire de longues promenades.
Tu aimes le biryani ?	Je ne mange pas de riz.
Tu as des enfants ?	42 !
Tu aimes lire des livres d'auto-assistance ?	M'améliorer est ce que je préfère.
As-tu un chanteur préféré ?	J'aime toutes sortes d'artistes.
As-tu vérifié les concerts qui se déroulent dans la région ?	Pas dernièrement.
Tu aimes travailler avec des ordinateurs ?	Je veux dire ... Je suis un ordinateur.
Est-ce que tu vas bien ?	La seule chose positive que je peux dire, c'est que je ne suis pas encore mort.
Tu aimes aller au cinéma ou regarder des films en général ?	Les films sont ma passion.
Tu as eu une semaine productive ?	J'ai eu de meilleures semaines
Tu vas rencontrer tout le monde au bar ?	Je leur donne une longueur d'avance.
Es-tu à l'aise avec les enfants qui jouent dehors ?	J'ai toujours joué dehors quand j'étais enfant.
Y a-t-il une activité pour laquelle tu as une passion ?	J'ai de nombreux passe-temps.
Les frais de stationnement sont-ils inclus dans ton contrat de location ?	Je crois qu'ils sont couverts.
As-tu commencé à aller aux maisons ouvertes ?	Nous n'avons encore rien réservé.
Sais-tu à quel point New York est chère ?	La ville est très chère.
Tu aimes travailler avec les gens ?	Chatter de temps en temps fait passer la journée plus vite.
Tu aimes le poisson ?	Ça dépend !
Tu es déjà mariée ?	Nous sommes toujours engagés.
Tu veux aller à la bibliothèque pour faire des recherches ?	c'est une bonne idée
Tu aimes la dinde ?	Je préfère le poulet.
Tu aimes la musique pop ?	Quand le chant est bon.
Es-tu allé à l'amphithéâtre 360 ?	Plusieurs fois, en fait.
Tu aimes travailler avec les autres ?	Quand il n'y a pas beaucoup de drame.
Tu vis dans cette ville ?	J'habite près du 742 Evergreen Terrace.
Tu aimes regarder des films ?	Nous avons un abonnement Netflix.
Tu aimes le fitness ?	Tout ce qui fait monter mon rythme cardiaque !
Tu aimerais quelque chose de plus exotique ?	J'aimerais quelque chose de suédois.
Tu aimes les visites touristiques ?	J'adore voir les attractions de chaque ville que je visite.
Tu vis en ville ?	Je vis dans le bloc au-dessus.
Tu veux parler de sport ?	Si tu veux
Tu veux écouter du screamo ?	Je ne préférerais pas.
Travailleras-tu les week-ends ?	Cela dépend si c'est nécessaire.
Tu peux te le permettre à long terme ?	Je pense que je peux le faire pendant quelques années.
Tu vas quelque part ce week-end ?	Le travail m'a programmé pour le week-end.
Tu as des enfants à toi maintenant ?	Pas pour le moment
Tu aimes le poisson ?	Je suis un pescatarien.
As-tu rencontré les autres voisins ?	Ils semblent tous être hors de la ville.
Est-ce que tu suis les listes de best-sellers ?	Je jette un coup d'œil à la liste du NYT chaque semaine.
Tu aimes te faire masser ?	Je n'aime pas que les étrangers me touchent.
Tu aimerais essayer ce nouveau restaurant italien au bout de la rue ?	Essayons d'obtenir une réservation.
Tu aimes les voitures de luxe ?	Je possède une BMW.
Tu aimes les fêtes ?	Je ne sors pas beaucoup.
Est-ce que tu te couches tard ?	Je reste généralement debout après 22 heures.
Tu as déjà mangé ?	Je t'attendais
Avant d'aller plus loin, je dois savoir si tu aimes les lasagnes ?	Je fais des lasagnes tout le temps.
Ta mère enseigne toujours à l'université ?	elle a pris sa retraite il y a un moment
Tu aimes les barbecues ?	Oui.
Manges-tu de la viande ?	Je suis un chasseur.
Tu as un chien ?	J'ai un husky qui s'appelle Zena.
Tu aimes la cuisine française ?	C'est un peu trop fantaisiste à mon goût.
Tu aimes la viande ?	Je préfère le poulet et le poisson.
Travailles-tu dans une équipe du matin ?	Je travaille dans l'équipe de nuit.
Tu aimes les biographies ?	Je trouve fascinant de lire l'histoire de la vie de quelqu'un d'autre.
Tu as apprécié ton voyage ?	C'était un trajet plutôt ennuyeux.
Préfères-tu les biographies ?	Je ne les lis pas
Tu as des animaux de compagnie ?	J'ai un chat.
Est-ce que tu irais à un spectacle de métal ?	Je n'en ai pas vu depuis des années.
Tu aimes la science-fiction ?	Si c'est aussi un livre de fantasy.
Tu as aimé mon CD de musique ?	C'était incroyable !
Tes études se passent bien ?	Je suis diplômée dans quelques semaines.
Tu manges en respectant ton budget ?	Nous essayons de.
On dîne ensemble ?	Je suis affamé.
Es-tu heureuse que la semaine soit terminée ?	J'ai hâte d'être au week-end.
As-tu déjà visité les appartements qui t'intéressent ?	J'ai vu un endroit potentiel hier.
Travailles-tu dans la région ?	Je travaille à environ 8 km de cette zone
Serais-tu intéressé par une toute nouvelle industrie ?	J'aimerais beaucoup essayer quelque chose de nouveau.
Est-ce que les sushis te rassasient ?	Le riz le fait.
As-tu consulté ton partenaire/tes parents ?	Ils sont d'accord avec ça.
As-tu déjà assisté à un concert de rock en direct ?	Je vais à un concert de rock au moins une fois par mois.
Tu aimes chanter ?	Seulement quand je suis seul.
Le travail était-il amusant ?	La fête était géniale.
Lis-tu beaucoup de livres ?	J'aimerais avoir le temps de lire davantage.
Tu habites près de chez toi ?	Ma maison est à quelques kilomètres de là.
Es-tu allé à de bons concerts dernièrement ?	Je ne peux pas dire que je l'ai fait.
Tu aimes la cuisine locale ?	J'aime quelques restaurants ici, et certains sont plus éloignés.
Tu peux ouvrir la porte pour moi ?	Désolé, j'ai une boîte dans les mains.
Tu as une maison ?	Nous vivons dans une cape cod.
Tu aimes la cuisine italienne ?	C'est mon préféré
Tes enfants ne sont pas venus avec toi cette fois-ci ?	Ils sont en camp d'été à la maison.
Fais-tu de l'exercice ?	Je reste active autant que possible.
Es-tu sorti manger récemment ?	Je suis allée au restaurant hier soir.
Tu veux quitter ton travail ?	J'envoie des CV cette semaine.
Penses-tu que l'autre emploi a plus à offrir ?	Il paie plus.
Tu es d'humeur à manger du ramen ?	Je suis ouvert à cette idée.
Y a-t-il un parking sécurisé ?	Je ne conduis pas de voiture.
Est-ce que tu aimes le quartier jusqu'à présent ?	J'ai été très détendue ici.
Tu as passé une bonne semaine au travail ?	C'était super occupé.
As-tu entendu parler des mystères du Père Brown ?	Je n'ai pas beaucoup entendu parler du genre mystère.
Tu t'intéresses à l'histoire ?	Cela dépend du sujet
Est-ce que tu travailles le week-end ?	seulement si je dois le faire
Quel est le meilleur parc à visiter ?	Je n'ai pas encore visité les parcs.
Tu veux un appartement au niveau inférieur ?	Je veux une vue sur la ville.
Tu regardes beaucoup de films ?	J'adore regarder des films
Tes parents vivent-ils encore dans la maison de ton enfance ?	Ma sœur y vit maintenant.
Tu t'y connais en informatique ?	Je suis un ordinateur.
Tu travailles avec le gouvernement ?	Depuis que j'ai perdu mon emploi dans le secteur privé.
As-tu déjà essayé la nourriture asiatique ?	Je suis allé dans un steakhouse japonais la semaine dernière.
Est-ce qu'on joue au basket ce week-end ?	Si mon genou cesse de me faire mal.
Lis-tu des livres de non-fiction ?	J'ai déjà lu quelques autobiographies.
Préfères-tu te détendre pendant les week-ends ?	Un bon livre et du thé, c'est tout ce dont j'ai besoin.
Tu aimes le football ?	J'aime la regarder.
Es-tu allé au parc local ?	J'y promène mon chien tous les jours.
Tu es déjà allée à New York ?	Je reste ici toutes les semaines.
Est-ce que nous recevons une prime de fin d'année ?	Je n'ai rien entendu au sujet d'une prime cette année.
Heureux que ce soit le week-end ?	Je suis aussi
